"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"FASLG2","FASLG",-1.46277909090909,0.000157874814312433,0.00132040753788581,"C2-Ctrl"
"PD.L12","PD.L1",-1.45429363636364,0.000231048969158996,0.00177137543021897,"C2-Ctrl"
"CCL202","CCL20",-2.91679181818182,0.000302966780617945,0.00214407260129622,"C2-Ctrl"
"CD702","CD70",-0.787032727272727,0.000402245978037414,0.00264333071281729,"C2-Ctrl"
"PDCD12","PDCD1",-0.956049090909092,0.000469528096861894,0.00277423714104073,"C2-Ctrl"
"IL102","IL10",-1.97193727272727,0.000496726681403641,0.00277423714104073,"C2-Ctrl"
"LAG32","LAG3",-1.20982181818182,0.000512630776061874,0.00277423714104073,"C2-Ctrl"
"CXCL112","CXCL11",-2.02760727272727,0.00088018959201724,0.00430215901308767,"C2-Ctrl"
"CCL172","CCL17",-2.55322636363637,0.000888489361398541,0.00430215901308767,"C2-Ctrl"
"IL132","IL13",-1.75002272727273,0.00103868572738695,0.00477795434597997,"C2-Ctrl"
"GZMB2","GZMB",-2.29731818181818,0.001114382767342,0.00488205783787924,"C2-Ctrl"
"CD402","CD40",-1.40344272727272,0.0011702877493114,0.00489393058802948,"C2-Ctrl"
"CD40.L2","CD40.L",-0.620271818181818,0.00136933239009699,0.00547732956038798,"C2-Ctrl"
"CXCL92","CXCL9",-3.21920363636364,0.00149039186297006,0.00571316880805191,"C2-Ctrl"
"Gal.12","Gal.1",-0.662228181818182,0.00166082098598258,0.00611182122841588,"C2-Ctrl"
"CCL42","CCL4",-2.18889272727272,0.00180431721047894,0.00638450705246395,"C2-Ctrl"
"CD832","CD83",-0.610612727272727,0.00220667195005023,0.0075190303483193,"C2-Ctrl"
"CCL32","CCL3",-2.22361545454546,0.00282711765747655,0.0092891008745658,"C2-Ctrl"
"IL12RB12","IL12RB1",-0.343912727272727,0.00331783912132964,0.0105255585918044,"C2-Ctrl"
"CXCL102","CXCL10",-3.32598727272727,0.00410554126677924,0.0125903265514563,"C2-Ctrl"
"CD52","CD5",-1.15495,0.00494467307536992,0.0146745136430333,"C2-Ctrl"
"CD272","CD27",-0.448421818181819,0.00549473633977348,0.0157973669768488,"C2-Ctrl"
"IL82","IL8",-1.57526363636363,0.00600640345965264,0.0167451247966074,"C2-Ctrl"
"CD42","CD4",-1.16545545454545,0.00675446249286049,0.0182767808630343,"C2-Ctrl"
"CASP.82","CASP.8",-0.385956363636364,0.00740004413420917,0.0193507215580204,"C2-Ctrl"
"KLRD12","KLRD1",-0.310391818181819,0.00757202147922538,0.0193507215580204,"C2-Ctrl"
"LAP.TGF.beta.12","LAP.TGF.beta.1",-1.19148181818182,0.00898847329557897,0.0223497173836018,"C2-Ctrl"
"MMP72","MMP7",-2.34324363636364,0.0105013024806046,0.0254242060056744,"C2-Ctrl"
"MMP122","MMP12",-2.69082272727273,0.0155296682046949,0.0353787199170769,"C2-Ctrl"
