"","Localisation","HumanName","BrainRegion"
"30150","Postsynaptic","IGSF8","Frontal lobe"
"30156","Postsynaptic","PRDX5","Frontal lobe"
"30160","Postsynaptic","GPI","Frontal lobe"
"30164","Postsynaptic","DCTN2","Frontal lobe"
"30187","Postsynaptic","MAP2K1","Frontal lobe"
"30195","Postsynaptic","CORO1A","Frontal lobe"
"30201","Postsynaptic","RAP1A","Frontal lobe"
"30203","Postsynaptic","HNRNPK","Frontal lobe"
"30215","Postsynaptic","PRKAR1A","Frontal lobe"
"30254","Postsynaptic","COX5B","Frontal lobe"
"30255","Postsynaptic","CDC42BPB","Frontal lobe"
"30271","Postsynaptic","LRRC59","Frontal lobe"
"30273","Postsynaptic","SRC","Frontal lobe"
"30274","Postsynaptic","EEF1D","Frontal lobe"
"30287","Postsynaptic","RAPGEF2","Frontal lobe"
"30297","Postsynaptic","PRKAR2A","Frontal lobe"
"30298","Postsynaptic","FARSA","Frontal lobe"
"30304","Postsynaptic","CSNK1D","Frontal lobe"
"30305","Postsynaptic","DBNL","Frontal lobe"
"30317","Postsynaptic","OXCT1","Frontal lobe"
"30321","Postsynaptic","PRDX6","Frontal lobe"
"30325","Postsynaptic","ENPP6","Frontal lobe"
"30326","Postsynaptic","SH3GLB2","Frontal lobe"
"30337","Postsynaptic","ATP6V1G2","Frontal lobe"
"30367","Postsynaptic","NDUFS6","Frontal lobe"
"30382","Postsynaptic","BCR","Frontal lobe"
"30383","Postsynaptic","EHD3","Frontal lobe"
"30407","Postsynaptic","AK1","Frontal lobe"
"30430","Postsynaptic","SNCA","Frontal lobe"
"30433","Postsynaptic","CRYM","Frontal lobe"
"30445","Postsynaptic","PRDX3","Frontal lobe"
"30463","Postsynaptic","SLC27A4","Frontal lobe"
"30470","Postsynaptic","NEDD4L","Frontal lobe"
"30471","Postsynaptic","CEP170","Frontal lobe"
"30472","Postsynaptic","MYCBP2","Frontal lobe"
"30483","Postsynaptic","C1QBP","Frontal lobe"
"30496","Postsynaptic","QDPR","Frontal lobe"
"30503","Postsynaptic","BRSK2","Frontal lobe"
"30509","Postsynaptic","AHSA1","Frontal lobe"
"30513","Postsynaptic","DNAJB2","Frontal lobe"
"30521","Postsynaptic","SLC4A1","Frontal lobe"
"30527","Postsynaptic","ARHGAP1","Frontal lobe"
"30531","Postsynaptic","NSFL1C","Frontal lobe"
"30548","Postsynaptic","LARP1","Frontal lobe"
"30553","Postsynaptic","COX6B1","Frontal lobe"
"30558","Postsynaptic","MPRIP","Frontal lobe"
"30563","Postsynaptic","ARHGEF12","Frontal lobe"
"30565","Postsynaptic","BAG6","Frontal lobe"
"30592","Postsynaptic","SSBP1","Frontal lobe"
"30600","Postsynaptic","USO1","Frontal lobe"
"30619","Postsynaptic","NDUFA5","Frontal lobe"
"30623","Postsynaptic","LONP1","Frontal lobe"
"30638","Postsynaptic","IST1","Frontal lobe"
"30650","Postsynaptic","ANXA11","Frontal lobe"
"30651","Postsynaptic","ESYT2","Frontal lobe"
"30661","Postsynaptic","PSMD1","Frontal lobe"
"30664","Postsynaptic","ARF6","Frontal lobe"
"30670","Postsynaptic","ACOT13","Frontal lobe"
"30677","Postsynaptic","EIF4E","Frontal lobe"
"30680","Postsynaptic","PRKRA","Frontal lobe"
"30683","Postsynaptic","TWF2","Frontal lobe"
"30723","Postsynaptic","RABEP1","Frontal lobe"
"30724","Postsynaptic","SEC31A","Frontal lobe"
"30730","Postsynaptic","NT5E","Frontal lobe"
"30745","Postsynaptic","CD59","Frontal lobe"
"30750","Postsynaptic","TBCB","Frontal lobe"
"30774","Postsynaptic","TBC1D17","Frontal lobe"
"30780","Postsynaptic","COPB2","Frontal lobe"
"30828","Postsynaptic","RAB2B","Frontal lobe"
"30847","Postsynaptic","PMVK","Frontal lobe"
"30874","Postsynaptic","GCLM","Frontal lobe"
"30879","Postsynaptic","ANXA4","Frontal lobe"
"30900","Postsynaptic","PNPT1","Frontal lobe"
"30901","Postsynaptic","GYS1","Frontal lobe"
"30905","Postsynaptic","NUDC","Frontal lobe"
"30910","Postsynaptic","CIAPIN1","Frontal lobe"
"30923","Postsynaptic","GOPC","Frontal lobe"
"30925","Postsynaptic","NIT1","Frontal lobe"
"30975","Postsynaptic","PSMD9","Frontal lobe"
"32159","Postsynaptic","DLG4","Frontal lobe"
"32168","Postsynaptic","BAIAP2","Frontal lobe"
"32181","Postsynaptic","CNP","Frontal lobe"
"32182","Postsynaptic","CIT","Frontal lobe"
"32205","Postsynaptic","GAPDH","Frontal lobe"
"32206","Postsynaptic","STXBP1","Frontal lobe"
"32209","Postsynaptic","DNM1","Frontal lobe"
"32211","Postsynaptic","ADD1","Frontal lobe"
"32220","Postsynaptic","IMMT","Frontal lobe"
"32221","Postsynaptic","MAP2","Frontal lobe"
"32253","Postsynaptic","AP2B1","Frontal lobe"
"32255","Postsynaptic","PPP1CC","Frontal lobe"
"32258","Postsynaptic","NFASC","Frontal lobe"
"32261","Postsynaptic","WASF1","Frontal lobe"
"32265","Postsynaptic","YWHAQ","Frontal lobe"
"32293","Postsynaptic","CDH2","Frontal lobe"
"32310","Postsynaptic","BCAN","Frontal lobe"
"32314","Postsynaptic","PRDX2","Frontal lobe"
"32322","Postsynaptic","DCTN1","Frontal lobe"
"32329","Postsynaptic","MINK1","Frontal lobe"
"32333","Postsynaptic","MAPT","Frontal lobe"
