"","Localisation","HumanName","BrainRegion"
"1223","Postsynaptic","CDC42","Brain"
"1224","Postsynaptic","DNM1L","Brain"
"1225","Postsynaptic","NBEA","Brain"
"1226","Postsynaptic","PRKAR1A","Brain"
"1227","Postsynaptic","RAB14","Brain"
"1228","Postsynaptic","GNB2L1","Brain"
"1229","Postsynaptic","CDK5","Brain"
"1230","Postsynaptic","GRM5","Brain"
"1231","Postsynaptic","EPB41L2","Brain"
"1232","Postsynaptic","FARSB","Brain"
"1233","Postsynaptic","SPTBN2","Brain"
"1234","Postsynaptic","MYL12B","Brain"
"1235","Postsynaptic","RPS19","Brain"
"1236","Postsynaptic","CACNG3","Brain"
"1237","Postsynaptic","NPTX1","Brain"
"1238","Postsynaptic","PHF24","Brain"
"1239","Postsynaptic","GPX4","Brain"
"1240","Postsynaptic","CYCS","Brain"
"1241","Postsynaptic","SYT2","Brain"
"1242","Postsynaptic","PIP4K2B","Brain"
"1243","Postsynaptic","BDH1","Brain"
"1244","Postsynaptic","OMG","Brain"
"1245","Postsynaptic","SEC22B","Brain"
"1246","Postsynaptic","PFN2","Brain"
"1247","Postsynaptic","CAPZA1","Brain"
"1248","Postsynaptic","RPL13","Brain"
"1249","Postsynaptic","MPP6","Brain"
"1250","Postsynaptic","SYT7","Brain"
"1251","Postsynaptic","ABCD3","Brain"
"1252","Postsynaptic","RPL5","Brain"
"1253","Postsynaptic","ADGRL3","Brain"
"1254","Postsynaptic","RPL24","Brain"
"1255","Postsynaptic","CSRP1","Brain"
"1256","Postsynaptic","LDHA","Brain"
"1257","Postsynaptic","AP3M2","Brain"
"1258","Postsynaptic","SYP","Brain"
"1259","Postsynaptic","NDUFA2","Brain"
"1260","Postsynaptic","CKAP4","Brain"
"1261","Postsynaptic","HSD17B4","Brain"
"1262","Postsynaptic","VCP","Brain"
"1263","Postsynaptic","DMTN","Brain"
"1264","Postsynaptic","FLOT2","Brain"
"1265","Postsynaptic","RPL3","Brain"
"1266","Postsynaptic","IDH3B","Brain"
"1267","Postsynaptic","AKAP5","Brain"
"1268","Postsynaptic","IDH3G","Brain"
"1269","Postsynaptic","PHGDH","Brain"
"1270","Postsynaptic","RUFY3","Brain"
"1271","Postsynaptic","EXOC4","Brain"
"1272","Postsynaptic","DPP6","Brain"
"1273","Postsynaptic","GNAI1","Brain"
"1274","Postsynaptic","GNAS","Brain"
"1275","Postsynaptic","RGS7","Brain"
"1276","Postsynaptic","RHOT1","Brain"
"1277","Postsynaptic","UQCRFS1","Brain"
"1278","Postsynaptic","TUBB2A","Brain"
"1279","Postsynaptic","DIRAS2","Brain"
"1280","Postsynaptic","COX5B","Brain"
"1281","Postsynaptic","CDC42BPB","Brain"
"1282","Postsynaptic","NCAM2","Brain"
"1283","Postsynaptic","PACS1","Brain"
"1284","Postsynaptic","TRAP1","Brain"
"1285","Postsynaptic","HNRNPA2B1","Brain"
"1286","Postsynaptic","DDX5","Brain"
"1287","Postsynaptic","EPRS","Brain"
"1288","Postsynaptic","RPS16","Brain"
"1289","Postsynaptic","STXBP5","Brain"
"1290","Postsynaptic","RPS13","Brain"
"1291","Postsynaptic","TUBB","Brain"
"1292","Postsynaptic","SLC3A2","Brain"
"1293","Postsynaptic","SFPQ","Brain"
"1294","Postsynaptic","AP3B2","Brain"
"1295","Postsynaptic","CAP1","Brain"
"1296","Postsynaptic","ATP5F1","Brain"
"1297","Postsynaptic","GNA13","Brain"
"1298","Postsynaptic","LRRC59","Brain"
"1299","Postsynaptic","NDUFB9","Brain"
"1300","Postsynaptic","SRC","Brain"
"1301","Postsynaptic","EEF1D","Brain"
"1302","Postsynaptic","DLST","Brain"
"1303","Postsynaptic","HSD17B12","Brain"
"1304","Postsynaptic","RMDN3","Brain"
"1305","Postsynaptic","CORO2B","Brain"
"1306","Postsynaptic","SLC8A2","Brain"
"1307","Postsynaptic","HSPA4L","Brain"
"1308","Postsynaptic","DAB2IP","Brain"
"1309","Postsynaptic","ARHGEF7","Brain"
"1310","Postsynaptic","CEP170B","Brain"
"1311","Postsynaptic","SH3KBP1","Brain"
"1312","Postsynaptic","HOMER2","Brain"
"1313","Postsynaptic","DST","Brain"
"1314","Postsynaptic","DGKZ","Brain"
"1315","Postsynaptic","TRIM3","Brain"
"1316","Postsynaptic","RAPGEF2","Brain"
"1317","Postsynaptic","PRKACB","Brain"
"1318","Postsynaptic","SBF1","Brain"
"1319","Postsynaptic","EPHA4","Brain"
"1320","Postsynaptic","STRN4","Brain"
"1321","Postsynaptic","LETM1","Brain"
"1322","Postsynaptic","HNRNPM","Brain"
"1323","Postsynaptic","KLC1","Brain"
"1324","Postsynaptic","ARHGAP21","Brain"
"1325","Postsynaptic","NUMBL","Brain"
"1326","Postsynaptic","GRM1","Brain"
"1327","Postsynaptic","USP9X","Brain"
"1328","Postsynaptic","KPNB1","Brain"
"1329","Postsynaptic","RHOB","Brain"
"1330","Postsynaptic","TLN2","Brain"
"1331","Postsynaptic","FARSA","Brain"
"1332","Postsynaptic","G3BP2","Brain"
"1333","Postsynaptic","CAP2","Brain"
"1334","Postsynaptic","ATP2B4","Brain"
"1335","Postsynaptic","RPSA","Brain"
"1336","Postsynaptic","ELMO2","Brain"
"1337","Postsynaptic","CACNB3","Brain"
"1338","Postsynaptic","DTNA","Brain"
"1339","Postsynaptic","RPL23","Brain"
"1340","Postsynaptic","IGSF21","Brain"
"1341","Postsynaptic","MAG","Brain"
"1342","Postsynaptic","PC","Brain"
"1343","Postsynaptic","CSNK1D","Brain"
"1344","Postsynaptic","DBNL","Brain"
"1345","Postsynaptic","CADPS","Brain"
"1346","Postsynaptic","MGST3","Brain"
"1347","Postsynaptic","DOCK3","Brain"
"1348","Postsynaptic","RPN2","Brain"
"1349","Postsynaptic","VPS16","Brain"
"1350","Postsynaptic","DCLK2","Brain"
"1351","Postsynaptic","RPS5","Brain"
"1352","Postsynaptic","EMC2","Brain"
"1353","Postsynaptic","RPS6","Brain"
