"","Gene_name","LFC_HA_AA","FDR_HA_AA"
"AGFG1","AGFG1",NA,NA
"AGFG2","AGFG2",NA,NA
"AGGF1","AGGF1",NA,NA
"AGGF1P4","AGGF1P4",NA,NA
"AGGF1P6","AGGF1P6",NA,NA
"AGGF1P7","AGGF1P7",NA,NA
"AGGF1P8","AGGF1P8",NA,NA
"AGGF1P9","AGGF1P9",NA,NA
"AGK","AGK",NA,NA
"AGKP1","AGKP1",NA,NA
"AGKP2","AGKP2",NA,NA
"AGL","AGL",NA,NA
"AGMAT","AGMAT",NA,NA
"AGMO","AGMO",NA,NA
"AGO1","AGO1",NA,NA
"AGO2","AGO2",NA,NA
"AGO3","AGO3",NA,NA
"AGO4","AGO4",NA,NA
"AGPAT1","AGPAT1",NA,NA
"AGPAT2","AGPAT2",NA,NA
"AGPAT3","AGPAT3",NA,NA
"AGPAT4","AGPAT4",NA,NA
"AGPAT5","AGPAT5",NA,NA
"AGPAT5P1","AGPAT5P1",NA,NA
"AGPS","AGPS",NA,NA
"AGR2","AGR2",NA,NA
"AGR3","AGR3",NA,NA
"AGRN","AGRN",NA,NA
"AGRP","AGRP",NA,NA
"AGT","AGT",NA,NA
"AGTPBP1","AGTPBP1",NA,NA
"AGTR1","AGTR1",NA,NA
"AGTR2","AGTR2",NA,NA
"AGTRAP","AGTRAP",NA,NA
"AGXT","AGXT",NA,NA
"AGXT2","AGXT2",NA,NA
"AHCTF1","AHCTF1",NA,NA
"AHCY","AHCY",NA,NA
"AHCYL1","AHCYL1",NA,NA
"AHCYL2","AHCYL2",NA,NA
"AHCYP2","AHCYP2",NA,NA
"AHCYP3","AHCYP3",NA,NA
"AHCYP4","AHCYP4",NA,NA
"AHCYP5","AHCYP5",NA,NA
"AHCYP7","AHCYP7",NA,NA
"AHDC1","AHDC1",NA,NA
"AHI1","AHI1",NA,NA
"AHI1-DT","AHI1-DT",NA,NA
"AHNAK","AHNAK",NA,NA
"AHNAK2","AHNAK2",NA,NA
"AHR","AHR",NA,NA
"AHRR","AHRR",-0.887788930626856,0.0495185096647744
"AHSA1","AHSA1",NA,NA
"AHSA2P","AHSA2P",NA,NA
"AHSG","AHSG",NA,NA
"AHSP","AHSP",NA,NA
"AICDA","AICDA",NA,NA
"AIDA","AIDA",NA,NA
"AIDAP2","AIDAP2",NA,NA
"AIF1","AIF1",NA,NA
"AIF1L","AIF1L",NA,NA
"AIFM1","AIFM1",NA,NA
"AIFM1P1","AIFM1P1",NA,NA
"AIFM2","AIFM2",NA,NA
"AIFM3","AIFM3",NA,NA
"AIG1","AIG1",NA,NA
"AIG1P1","AIG1P1",NA,NA
"AIM2","AIM2",NA,NA
"AIMP1","AIMP1",NA,NA
"AIMP1P1","AIMP1P1",NA,NA
"AIMP2","AIMP2",NA,NA
"AIP","AIP",NA,NA
"AIPL1","AIPL1",NA,NA
