"SUID","edgeType_all_genes","interaction","name","selected","shared interaction","shared name"
"1584433","black","pp","48519 (pp) 9892","false","pp","48519 (pp) 9892"
"1584436","black","pp","6163 (pp) 9150","false","pp","6163 (pp) 9150"
"1584439","black","pp","44255 (pp) 44242","false","pp","44255 (pp) 44242"
"1584442","black","pp","19882 (pp) 19884","false","pp","19882 (pp) 19884"
"1584443","black","pp","9987 (pp) 30030","false","pp","9987 (pp) 30030"
"1584445","black","pp","2682 (pp) 2684","false","pp","2682 (pp) 2684"
"1584446","black","pp","6139 (pp) 34655","false","pp","6139 (pp) 34655"
"1584449","black","pp","10755 (pp) 10757","false","pp","10755 (pp) 10757"
"1584451","black","pp","55086 (pp) 34656","false","pp","55086 (pp) 34656"
"1584454","black","pp","51726 (pp) 51445","false","pp","51726 (pp) 51445"
"1584456","black","pp","50789 (pp) 44087","false","pp","50789 (pp) 44087"
"1584459","black","pp","9072 (pp) 9074","false","pp","9072 (pp) 9074"
"1584462","black","pp","51130 (pp) 10770","false","pp","51130 (pp) 10770"
"1584464","black","pp","71071 (pp) 10511","false","pp","71071 (pp) 10511"
"1584466","black","pp","51445 (pp) 40020","false","pp","51445 (pp) 40020"
"1584468","black","pp","30168 (pp) 70527","false","pp","30168 (pp) 70527"
"1584470","black","pp","44281 (pp) 42180","false","pp","44281 (pp) 42180"
"1584472","black","pp","9987 (pp) 51641","false","pp","9987 (pp) 51641"
"1584475","black","pp","9058 (pp) 16051","false","pp","9058 (pp) 16051"
"1584478","black","pp","6778 (pp) 42168","false","pp","6778 (pp) 42168"
"1584480","black","pp","42221 (pp) 7584","false","pp","42221 (pp) 7584"
"1584482","black","pp","6576 (pp) 6586","false","pp","6576 (pp) 6586"
"1584483","black","pp","44281 (pp) 19627","false","pp","44281 (pp) 19627"
"1584485","black","pp","50789 (pp) 31341","false","pp","50789 (pp) 31341"
"1584488","black","pp","1910 (pp) 1912","false","pp","1910 (pp) 1912"
"1584490","black","pp","50790 (pp) 51338","false","pp","50790 (pp) 51338"
"1584491","black","pp","9889 (pp) 9891","false","pp","9889 (pp) 9891"
"1584493","black","pp","9056 (pp) 44248","false","pp","9056 (pp) 44248"
"1584495","black","pp","6921 (pp) 6923","false","pp","6921 (pp) 6923"
"1584498","black","pp","42451 (pp) 46129","false","pp","42451 (pp) 46129"
"1584500","black","pp","16192 (pp) 16197","false","pp","16192 (pp) 16197"
"1584501","black","pp","9892 (pp) 9890","false","pp","9892 (pp) 9890"
"1584503","black","pp","30154 (pp) 30099","false","pp","30154 (pp) 30099"
"1584506","black","pp","90304 (pp) 6259","false","pp","90304 (pp) 6259"
"1584508","black","pp","9893 (pp) 44253","false","pp","9893 (pp) 44253"
"1584510","black","pp","34404 (pp) 9163","false","pp","34404 (pp) 9163"
"1584512","black","pp","16265 (pp) 8219","false","pp","16265 (pp) 8219"
"1584514","black","pp","32386 (pp) 46822","false","pp","32386 (pp) 46822"
"1584515","black","pp","46890 (pp) 51055","false","pp","46890 (pp) 51055"
"1584517","black","pp","10033 (pp) 2237","false","pp","10033 (pp) 2237"
"1584518","black","pp","51239 (pp) 31650","false","pp","51239 (pp) 31650"
"1584521","black","pp","31960 (pp) 51384","false","pp","31960 (pp) 51384"
"1584524","black","pp","2366 (pp) 2285","false","pp","2366 (pp) 2285"
"1584525","black","pp","1932 (pp) 33135","false","pp","1932 (pp) 33135"
"1584527","black","pp","50731 (pp) 42531","false","pp","50731 (pp) 42531"
"1584529","black","pp","8152 (pp) 9058","false","pp","8152 (pp) 9058"
"1584531","black","pp","45137 (pp) 46545","false","pp","45137 (pp) 46545"
"1584532","black","pp","9725 (pp) 32870","false","pp","9725 (pp) 32870"
"1584534","black","pp","46427 (pp) 42531","false","pp","46427 (pp) 42531"
"1584535","black","pp","10941 (pp) 60548","false","pp","10941 (pp) 60548"
"1584537","black","pp","51493 (pp) 51495","false","pp","51493 (pp) 51495"
"1584540","black","pp","51186 (pp) 6732","false","pp","51186 (pp) 6732"
"1584541","black","pp","31341 (pp) 1910","false","pp","31341 (pp) 1910"
"1584543","black","pp","9169 (pp) 6196","false","pp","9169 (pp) 6196"
"1584544","black","pp","51049 (pp) 32386","false","pp","51049 (pp) 32386"
"1584547","black","pp","60541 (pp) 30324","false","pp","60541 (pp) 30324"
"1584549","black","pp","48522 (pp) 8284","false","pp","48522 (pp) 8284"
"1584551","black","pp","10033 (pp) 34097","false","pp","10033 (pp) 34097"
"1584554","black","pp","32886 (pp) 70507","false","pp","32886 (pp) 70507"
"1584556","black","pp","32268 (pp) 32270","false","pp","32268 (pp) 32270"
"1584558","black","pp","42558 (pp) 46146","false","pp","42558 (pp) 46146"
"1584559","black","pp","30030 (pp) 48858","false","pp","30030 (pp) 48858"
"1584562","black","pp","44092 (pp) 43086","false","pp","44092 (pp) 43086"
"1584563","black","pp","10557 (pp) 45740","false","pp","10557 (pp) 45740"
"1584564","black","pp","48522 (pp) 10942","false","pp","48522 (pp) 10942"
"1584567","black","pp","3 (pp) 32504","false","pp","3 (pp) 32504"
"1584570","black","pp","51252 (pp) 43487","false","pp","51252 (pp) 43487"
"1584573","black","pp","45936 (pp) 42326","false","pp","45936 (pp) 42326"
"1584576","black","pp","5996 (pp) 19321","false","pp","5996 (pp) 19321"
"1584578","black","pp","48584 (pp) 50778","false","pp","48584 (pp) 50778"
"1584579","black","pp","8150 (pp) 3","false","pp","8150 (pp) 3"
"1584580","black","pp","30154 (pp) 30182","false","pp","30154 (pp) 30182"
"1584581","black","pp","65009 (pp) 50790","false","pp","65009 (pp) 50790"
"1584583","black","pp","10595 (pp) 43536","false","pp","10595 (pp) 43536"
"1584585","black","pp","23056 (pp) 9967","false","pp","23056 (pp) 9967"
"1584586","black","pp","48585 (pp) 70303","false","pp","48585 (pp) 70303"
"1584588","black","pp","45321 (pp) 2366","false","pp","45321 (pp) 2366"
"1584589","black","pp","9058 (pp) 44249","false","pp","9058 (pp) 44249"
"1584592","black","pp","1776 (pp) 2260","false","pp","1776 (pp) 2260"
"1584595","black","pp","8406 (pp) 8585","false","pp","8406 (pp) 8585"
"1584596","black","pp","70887 (pp) 34599","false","pp","70887 (pp) 34599"
"1584599","black","pp","9308 (pp) 44106","false","pp","9308 (pp) 44106"
"1584601","black","pp","6950 (pp) 6986","false","pp","6950 (pp) 6986"
"1584603","black","pp","45859 (pp) 61097","false","pp","45859 (pp) 61097"
"1584604","black","pp","8152 (pp) 9056","false","pp","8152 (pp) 9056"
"1584607","black","pp","6511 (pp) 43161","false","pp","6511 (pp) 43161"
"1584610","black","pp","2761 (pp) 2763","false","pp","2761 (pp) 2763"
"1584611","black","pp","51186 (pp) 6778","false","pp","51186 (pp) 6778"
"1584613","black","pp","23052 (pp) 23033","false","pp","23052 (pp) 23033"
"1584616","black","pp","32101 (pp) 50920","false","pp","32101 (pp) 50920"
"1584619","black","pp","32103 (pp) 50729","false","pp","32103 (pp) 50729"
"1584622","black","pp","50727 (pp) 2673","false","pp","50727 (pp) 2673"
"1584625","black","pp","43170 (pp) 43412","false","pp","43170 (pp) 43412"
"1584627","black","pp","22414 (pp) 48609","false","pp","22414 (pp) 48609"
"1584629","black","pp","45321 (pp) 2274","false","pp","45321 (pp) 2274"
"1584631","black","pp","50794 (pp) 30155","false","pp","50794 (pp) 30155"
"1584633","black","pp","22414 (pp) 22415","false","pp","22414 (pp) 22415"
"1584635","black","pp","6629 (pp) 44255","false","pp","6629 (pp) 44255"
"1584637","black","pp","30323 (pp) 30324","false","pp","30323 (pp) 30324"
"1584640","black","pp","46395 (pp) 9063","false","pp","46395 (pp) 9063"
"1584642","black","pp","9725 (pp) 48545","false","pp","9725 (pp) 48545"
"1584645","black","pp","43065 (pp) 8633","false","pp","43065 (pp) 8633"
"1584647","black","pp","2260 (pp) 43029","false","pp","2260 (pp) 43029"
"1584648","black","pp","2684 (pp) 2699","false","pp","2684 (pp) 2699"
"1584651","black","pp","18 (pp) 45191","false","pp","18 (pp) 45191"
"1584653","black","pp","50896 (pp) 9605","false","pp","50896 (pp) 9605"
"1584656","black","pp","46112 (pp) 9113","false","pp","46112 (pp) 9113"
"1584659","black","pp","50688 (pp) 50691","false","pp","50688 (pp) 50691"
"1584661","black","pp","6996 (pp) 16050","false","pp","6996 (pp) 16050"
"1584663","black","pp","1776 (pp) 2262","false","pp","1776 (pp) 2262"
"1584665","black","pp","48518 (pp) 31343","false","pp","48518 (pp) 31343"
"1584667","black","pp","9056 (pp) 16042","false","pp","9056 (pp) 16042"
"1584669","black","pp","9161 (pp) 9167","false","pp","9161 (pp) 9167"
"1584672","black","pp","80134 (pp) 61041","false","pp","80134 (pp) 61041"
"1584673","black","pp","2684 (pp) 2696","false","pp","2684 (pp) 2696"
"1584676","black","pp","9117 (pp) 9141","false","pp","9117 (pp) 9141"
"1584677","black","pp","3006 (pp) 45137","false","pp","3006 (pp) 45137"
"1584679","black","pp","31325 (pp) 32270","false","pp","31325 (pp) 32270"
"1584680","black","pp","9893 (pp) 31325","false","pp","9893 (pp) 31325"
"1584683","black","pp","9607 (pp) 51707","false","pp","9607 (pp) 51707"
"1584684","black","pp","48545 (pp) 43627","false","pp","48545 (pp) 43627"
"1584687","black","pp","32269 (pp) 31400","false","pp","32269 (pp) 31400"
"1584688","black","pp","48523 (pp) 60548","false","pp","48523 (pp) 60548"
"1584690","black","pp","10627 (pp) 51896","false","pp","10627 (pp) 51896"
"1584693","black","pp","51171 (pp) 51173","false","pp","51171 (pp) 51173"
"1584695","black","pp","50818 (pp) 50819","false","pp","50818 (pp) 50819"
"1584697","black","pp","2443 (pp) 2444","false","pp","2443 (pp) 2444"
"1584700","black","pp","2697 (pp) 2698","false","pp","2697 (pp) 2698"
"1584702","black","pp","9966 (pp) 10627","false","pp","9966 (pp) 10627"
"1584703","black","pp","46545 (pp) 8585","false","pp","46545 (pp) 8585"
