"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NANS1",2.85973774790195e-57,0.503774266595528,0.616,0.158,6.13899902342112e-53,"CD16+ Mono","NANS"
"CFL11",5.47500819785566e-57,0.672330155954928,1,0.979,1.17532000983367e-52,"CD16+ Mono","CFL1"
"ESRRA",8.54688447550603e-57,0.437599736269596,0.438,0.091,1.83475969035688e-52,"CD16+ Mono","ESRRA"
"ERGIC11",9.81822080549631e-57,0.632933804922162,0.655,0.186,2.10767746031589e-52,"CD16+ Mono","ERGIC1"
"GCA1",1.10276581684995e-56,0.527432454458427,0.66,0.177,2.36730737903178e-52,"CD16+ Mono","GCA"
"CCNG21",1.42398013336968e-56,0.468773468170592,0.463,0.1,3.0568581523047e-52,"CD16+ Mono","CCNG2"
"SLC27A3",1.58428360405587e-56,0.374851390359244,0.409,0.08,3.40098161282674e-52,"CD16+ Mono","SLC27A3"
"ELF4",2.17933863968847e-56,0.415049187496369,0.498,0.11,4.67838625781925e-52,"CD16+ Mono","ELF4"
"SERTAD3",2.79957038364885e-56,0.387404188230017,0.404,0.079,6.00983774257899e-52,"CD16+ Mono","SERTAD3"
"AGTRAP1",3.48903391517397e-56,0.632589277981528,0.788,0.254,7.48990910570395e-52,"CD16+ Mono","AGTRAP"
"XYLT1",4.17402604483457e-56,0.335890931422058,0.305,0.049,8.96038171044637e-52,"CD16+ Mono","XYLT1"
"ZBTB7A2",4.35174971865259e-56,0.901332409931962,0.926,0.416,9.34190112103151e-52,"CD16+ Mono","ZBTB7A"
"APH1B",5.47079765541425e-56,0.432119976663238,0.399,0.077,1.17441613268778e-51,"CD16+ Mono","APH1B"
"GDI22",1.31574133232534e-55,0.970862502707056,0.956,0.56,2.8245019181028e-51,"CD16+ Mono","GDI2"
"OGFRL11",2.5968465486334e-55,0.49997451543991,0.631,0.167,5.57465048595133e-51,"CD16+ Mono","OGFRL1"
"TPMT",4.04409075141478e-55,0.366104268632984,0.399,0.078,8.6814496160621e-51,"CD16+ Mono","TPMT"
"PRKAR1A1",7.76652922983663e-55,0.615669235158937,0.695,0.204,1.66724082976903e-50,"CD16+ Mono","PRKAR1A"
"H2AFY1",7.97569266177662e-55,0.812135454477306,0.951,0.436,1.71214194370359e-50,"CD16+ Mono","H2AFY"
"WASHC42",8.35033782251749e-55,0.642437339567081,0.729,0.224,1.79256702035983e-50,"CD16+ Mono","WASHC4"
"TUT71",1.06824806506961e-54,0.581993035538176,0.601,0.163,2.29320812128493e-50,"CD16+ Mono","TUT7"
"CCDC88A1",1.6847149369021e-54,0.4709969270155,0.542,0.13,3.61657755504773e-50,"CD16+ Mono","CCDC88A"
"BACH11",1.71522043086602e-54,0.629408880401383,0.631,0.177,3.68206369894009e-50,"CD16+ Mono","BACH1"
"PGLS1",1.98007010671551e-54,0.877185908084082,0.956,0.484,4.25061649808618e-50,"CD16+ Mono","PGLS"
"VPS351",2.22113612994004e-54,0.790675218801965,0.803,0.298,4.76811293014228e-50,"CD16+ Mono","VPS35"
"PCCA",2.26029865491653e-54,0.302769232584688,0.251,0.035,4.8521831225093e-50,"CD16+ Mono","PCCA"
"ARHGAP21",3.59567505014495e-54,0.331535531478498,0.365,0.068,7.71883563014616e-50,"CD16+ Mono","ARHGAP21"
"PLCG21",5.44643868135061e-54,0.423784614681921,0.438,0.094,1.16918699172553e-49,"CD16+ Mono","PLCG2"
"CD1511",1.06564398866023e-53,0.56695245418053,0.626,0.177,2.28761795045692e-49,"CD16+ Mono","CD151"
"SVIL",1.75162292468148e-53,0.495813560976899,0.537,0.131,3.76020893241372e-49,"CD16+ Mono","SVIL"
"SNAP29",2.26470170825942e-53,0.533047395871096,0.557,0.145,4.8616351571205e-49,"CD16+ Mono","SNAP29"
"UBE2R21",3.28934571998162e-53,0.834978856194444,0.921,0.42,7.06123845708455e-49,"CD16+ Mono","UBE2R2"
"PHF19",4.88657706638582e-53,0.434002132305053,0.448,0.098,1.04900149884104e-48,"CD16+ Mono","PHF19"
"SBF2",6.8902065685204e-53,0.453631923007045,0.463,0.105,1.47912064406427e-48,"CD16+ Mono","SBF2"
"SUPT4H11",7.00267077463212e-53,0.734093742536012,0.852,0.327,1.50326333519028e-48,"CD16+ Mono","SUPT4H1"
"EIF4E21",7.81255924940425e-53,0.630628017935191,0.798,0.262,1.67712209406961e-48,"CD16+ Mono","EIF4E2"
"CD79B1",8.51705640244972e-53,0.339040110341237,0.611,0.163,1.82835649791388e-48,"CD16+ Mono","CD79B"
"IFNGR12",9.39796070523569e-53,0.617269951811991,0.69,0.208,2.01746022459295e-48,"CD16+ Mono","IFNGR1"
"ARAP21",9.71798262461741e-53,0.50202042820245,0.611,0.162,2.08615933002662e-48,"CD16+ Mono","ARAP2"
"ATP6V0B1",1.42652940734771e-52,0.83017436941881,0.936,0.471,3.06233067875334e-48,"CD16+ Mono","ATP6V0B"
"EPN11",2.06863575625653e-52,0.698868986847002,0.719,0.244,4.44074037795589e-48,"CD16+ Mono","EPN1"
"CTNND1",2.33354861738994e-52,0.282262200262992,0.251,0.036,5.00942881695097e-48,"CD16+ Mono","CTNND1"
"OSBPL111",3.83558559884073e-52,0.496003383296326,0.522,0.13,8.2338516050314e-48,"CD16+ Mono","OSBPL11"
"PGK1",4.29786729086729e-52,0.871404648515129,0.985,0.702,9.22623171330481e-48,"CD16+ Mono","PGK1"
"PNPLA61",6.02356355356797e-52,0.531657340848534,0.562,0.147,1.29307838804444e-47,"CD16+ Mono","PNPLA6"
"RAP1B1",6.35006826448332e-52,0.840134070128705,0.98,0.663,1.36316915433663e-47,"CD16+ Mono","RAP1B"
"ARPC51",1.02167348523663e-51,0.818006956442199,0.99,0.748,2.19322647075747e-47,"CD16+ Mono","ARPC5"
"CAP12",2.82258434136119e-51,0.882117993903667,0.985,0.697,6.05924180560006e-47,"CD16+ Mono","CAP1"
"ATG16L21",2.93747362111493e-51,0.615709908313114,0.773,0.264,6.30587462244742e-47,"CD16+ Mono","ATG16L2"
"CKS1B",4.82608947188193e-51,0.351517279183272,0.384,0.076,1.03601662692889e-46,"CD16+ Mono","CKS1B"
"ARL4A2",6.97236931104265e-51,0.695830662915318,0.596,0.173,1.49675852000153e-46,"CD16+ Mono","ARL4A"
"GAPT1",7.89131687914473e-51,0.378699645081646,0.404,0.084,1.694028994446e-46,"CD16+ Mono","GAPT"
"NBPF26",1.1779757317681e-50,0.311011206331056,0.315,0.055,2.52876050338658e-46,"CD16+ Mono","NBPF26"
"MSRA",1.92443339477045e-50,0.450094728105643,0.498,0.122,4.13118116855372e-46,"CD16+ Mono","MSRA"
"IL1B1",2.55054965291437e-50,0.815361181593036,0.438,0.1,5.47526493991129e-46,"CD16+ Mono","IL1B"
"CSK2",5.09664299040778e-50,0.890020423043304,0.966,0.611,1.09409635075084e-45,"CD16+ Mono","CSK"
"AGPAT31",6.05179910675623e-50,0.510604975559998,0.571,0.157,1.29913971424736e-45,"CD16+ Mono","AGPAT3"
"STK40",7.98941289936943e-50,0.438784845981446,0.512,0.128,1.71508726710764e-45,"CD16+ Mono","STK40"
