"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1078","USP3",5.18532220963621e-84,0.558514361526338,0.52,0.319,1.11313311874261e-79,"CD14+ Mono","USP3"
"1087","ITM2B",5.10076610076134e-82,0.385344683917459,0.957,0.954,1.09498145885044e-77,"CD14+ Mono","ITM2B"
"1093","ENY2",5.73278216613367e-81,0.567932426787569,0.582,0.397,1.23065634760391e-76,"CD14+ Mono","ENY2"
"1099","CTSA",8.33595253151074e-80,0.363064056353229,0.475,0.272,1.78947892993941e-75,"CD14+ Mono","CTSA"
"1130","MXD4",7.77360681225214e-71,0.477369268697287,0.412,0.231,1.66876017438617e-66,"CD14+ Mono","MXD4"
"1141","MAPK14",1.40351609586016e-68,0.414743398127796,0.324,0.161,3.012928002983e-64,"CD14+ Mono","MAPK14"
"1146","TGOLN2",7.09922211890919e-68,0.500889498554621,0.65,0.484,1.52399001226624e-63,"CD14+ Mono","TGOLN2"
"1162","MAP3K1",1.11047983794816e-64,0.489105860129622,0.484,0.309,2.38386706812332e-60,"CD14+ Mono","MAP3K1"
"1167","PHC2",1.67621859862714e-63,0.400955627844132,0.288,0.14,3.59833846567289e-59,"CD14+ Mono","PHC2"
"1168","UBC",1.80492475349521e-63,0.343115249622282,0.984,0.98,3.87463196832817e-59,"CD14+ Mono","UBC"
"1170","INPP5D",2.90245207553442e-63,0.48302009233024,0.481,0.304,6.23069387054973e-59,"CD14+ Mono","INPP5D"
"1177","RIOK3",9.92973299861689e-62,0.4579709703103,0.425,0.257,2.13161578281309e-57,"CD14+ Mono","RIOK3"
"1179","HNRNPU",2.15192821534836e-61,0.646414738213509,0.823,0.765,4.61954429988833e-57,"CD14+ Mono","HNRNPU"
"1205","IGF2R",7.13230339720488e-57,0.462757025824843,0.375,0.217,1.53109157027797e-52,"CD14+ Mono","IGF2R"
"1209","RB1",4.59606384711046e-56,0.431821289805281,0.358,0.201,9.86637026059203e-52,"CD14+ Mono","RB1"
"1211","CDC42",1.1658605288383e-55,0.370033774714922,0.823,0.773,2.50275279725718e-51,"CD14+ Mono","CDC42"
"1233","PTEN",3.56527596167569e-52,0.43309929380281,0.487,0.332,7.65357790692921e-48,"CD14+ Mono","PTEN"
"1239","DEK",2.78469667480509e-51,0.441151877763307,0.621,0.482,5.97790835180408e-47,"CD14+ Mono","DEK"
"1262","IER2",5.07621481651629e-48,0.386132060739127,0.928,0.858,1.08971103466155e-43,"CD14+ Mono","IER2"
"1266","GNPTG",2.94670736331002e-47,0.382736143282891,0.432,0.28,6.32569669681761e-43,"CD14+ Mono","GNPTG"
"1267","ID2",3.21842297413569e-47,0.703308076643437,0.541,0.409,6.90898859857708e-43,"CD14+ Mono","ID2"
"1269","SLC25A5",1.13454102060091e-46,0.396462942072779,0.719,0.641,2.43551920892397e-42,"CD14+ Mono","SLC25A5"
"1273","CHD1",1.0612784796522e-45,0.473243803363018,0.522,0.382,2.27824651226938e-41,"CD14+ Mono","CHD1"
"1290","HNRNPH1",3.43804830540485e-43,0.426762402018104,0.584,0.454,7.38045829721259e-39,"CD14+ Mono","HNRNPH1"
"1316","REEP5",1.37460787932251e-39,0.372881756441359,0.475,0.338,2.95087073454164e-35,"CD14+ Mono","REEP5"
"1325","GUSB",3.81567174777555e-38,0.347750739940633,0.307,0.186,8.19110254094977e-34,"CD14+ Mono","GUSB"
"1346","HMGB2",5.42830526852184e-36,0.414140187668884,0.552,0.439,1.16529429199358e-31,"CD14+ Mono","HMGB2"
"1347","DBI",8.46404417002967e-36,0.383825441846163,0.595,0.498,1.81697636198027e-31,"CD14+ Mono","DBI"
"1352","MAP4K4",3.29054899257923e-35,0.398143838945197,0.406,0.284,7.06382152236983e-31,"CD14+ Mono","MAP4K4"
"1354","MAT2A",4.48000211289194e-35,0.411251684039156,0.421,0.3,9.61722053574513e-31,"CD14+ Mono","MAT2A"
"1361","MAPK1",1.54438923711768e-34,0.329935024880093,0.41,0.277,3.31534037532052e-30,"CD14+ Mono","MAPK1"
"1368","WDR26",6.58267631411101e-34,0.332372877011349,0.287,0.172,1.41310312435021e-29,"CD14+ Mono","WDR26"
"1392","UBE2S",4.99301800800915e-31,0.448455261922085,0.506,0.396,1.07185117577932e-26,"CD14+ Mono","UBE2S"
"1400","RAF1",2.83910152784452e-30,0.315674651443257,0.312,0.202,6.09469924982384e-26,"CD14+ Mono","RAF1"
"1401","MAP3K5",3.06440801200669e-30,0.283468182905544,0.259,0.156,6.57836467937475e-26,"CD14+ Mono","MAP3K5"
"1402","ZBTB7A",4.54108472943719e-30,0.352466164490254,0.521,0.406,9.74834658868281e-26,"CD14+ Mono","ZBTB7A"
"1408","LRPAP1",7.83998942934967e-30,0.328125866409086,0.441,0.322,1.68301053079849e-25,"CD14+ Mono","LRPAP1"
"1417","SYNGR2",6.76897873892757e-29,0.272132624901602,0.606,0.485,1.45309666588558e-24,"CD14+ Mono","SYNGR2"
"1421","FAM111A",1.49452387117463e-28,0.282294151292859,0.287,0.179,3.20829439425058e-24,"CD14+ Mono","FAM111A"
"1434","ADIPOR1",1.66047704555591e-27,0.294818421903443,0.376,0.27,3.56454607369486e-23,"CD14+ Mono","ADIPOR1"
"1470","TRA2B",6.77752120829463e-24,0.352871051865586,0.565,0.482,1.45493047778461e-19,"CD14+ Mono","TRA2B"
"1485","ATP6AP2",2.13221696624082e-22,0.321803812113983,0.481,0.399,4.57723016142917e-18,"CD14+ Mono","ATP6AP2"
"1489","LIPA",7.05763813038882e-22,0.283270498868011,0.269,0.182,1.51506317745057e-17,"CD14+ Mono","LIPA"
"1499","ATP6AP1",5.11957545709631e-21,0.293968789869442,0.399,0.304,1.09901926337487e-16,"CD14+ Mono","ATP6AP1"
"1502","YY1",8.42772648753379e-21,0.295632853637647,0.453,0.358,1.80918004507888e-16,"CD14+ Mono","YY1"
"1512","UBN1",1.09501705451511e-19,0.29786291078215,0.297,0.21,2.35067311092758e-15,"CD14+ Mono","UBN1"
"1522","TOP1",1.09788716786995e-18,0.269367790785852,0.418,0.33,2.35683438326643e-14,"CD14+ Mono","TOP1"
"1523","HNRNPAB",1.6158603433976e-18,0.276498067494876,0.41,0.317,3.46876739917164e-14,"CD14+ Mono","HNRNPAB"
"1525","YPEL5",2.45201570556294e-18,0.331824643700232,0.501,0.421,5.26374211513197e-14,"CD14+ Mono","YPEL5"
"1527","MINK1",4.25440302417513e-18,0.25752382285456,0.265,0.183,9.13292697199675e-14,"CD14+ Mono","MINK1"
"1528","SRSF3",6.28997695020363e-18,0.25715159889762,0.687,0.626,1.35026935190021e-13,"CD14+ Mono","SRSF3"
"1531","IDS",1.80376861809224e-17,0.318917904971479,0.542,0.472,3.87215009245861e-13,"CD14+ Mono","IDS"
"1538","IFI16",3.88825973555754e-17,0.261979592732487,0.43,0.342,8.34692717432137e-13,"CD14+ Mono","IFI16"
"1555","MAP1LC3B",3.86307760619624e-15,0.287895060632107,0.512,0.438,8.29286869722147e-11,"CD14+ Mono","MAP1LC3B"
"1565","ANP32A",1.54225818350396e-13,0.265036655118826,0.564,0.51,3.31076564252796e-09,"CD14+ Mono","ANP32A"
"1566","GSK3B",5.03578060364064e-13,0.259416782237501,0.294,0.227,1.08103102218354e-08,"CD14+ Mono","GSK3B"
"1570","LSM6",7.11836367974688e-12,0.250180901420258,0.421,0.353,1.52809913113126e-07,"CD14+ Mono","LSM6"
"1577","H1FX",0.000402127140861552,0.330875017052434,0.742,0.747,1,"CD14+ Mono","H1FX"
"1589","LYAR",1.34719192126324e-253,0.880679069956967,0.447,0.158,2.8920168973758e-249,"CD8 T","LYAR"
"1597","HLA-B",7.63317427247631e-201,0.332441160688723,1,0.998,1.63861352107249e-196,"CD8 T","HLA-B"
"1640","FKBP11",1.29607448983317e-75,0.368805165036044,0.41,0.237,2.78228310732487e-71,"CD8 T","FKBP11"
"1643","CD81",4.23515156567118e-73,0.439607242927964,0.706,0.557,9.09159986602632e-69,"CD8 T","CD81"
"1645","ETS11",2.49946879528569e-70,0.330115231901578,0.848,0.644,5.36560966283978e-66,"CD8 T","ETS1"
"1684","CDC25B1",8.55301342728469e-46,0.311920950606762,0.521,0.377,1.8360753924352e-41,"CD8 T","CDC25B"
"1695","PIM11",2.48064864929963e-39,0.316070837900416,0.551,0.41,5.32520845545152e-35,"CD8 T","PIM1"
