GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
GNL1	0.991510833032829	0.998415253291249	0.980373788494377	0.992518036041323	0.989301145803265	0.97228134435583	1	0.994569276856241	1	0.15076389057083
GNL2	0.993490054608226	0.998708621795069	0.953566930912145	0.985478975705061	0.979362816899399	0.898425780644041	0.993072580868377	0.999986659696377	0.998108371567493	0.151960345986181
GNL3	0.974081154342975	0.994740850948077	0.964591202889963	0.970272551044193	0.988489711370508	0.957381716340152	0.994746826036569	0.987416023935929	0.996205217439067	0.243656562196897
GNL3L	0.995174851788555	0.997314453995755	0.990173598746186	0.999515552807982	0.993866057076373	0.979280390580342	1	0.999006475222732	0.999302393526232	0.151083437089839
GNLY	1	1	0.000221504560631358	1	7.7059249888143e-07	0.290102139448832	1	1	1	0.487581571810481
GNMT	0.99860821807881	0.999194286380034	0.998093130087459	0.996321985954533	0.997195175989176	0.98876452364346	1	0.998739148523334	0.998995386356146	0.0426298241530376
GNPAT	0.975731501985351	1	0.936055370375031	0.966885524708325	0.97889705593289	0.900590812629955	0.991884210318226	1	0.992484808989857	0.151838036546615
GNPDA1	1	1	0.946450288524342	0.996102042794489	0.971551940755361	0.86477183615256	1	1	1	0.0423244473239785
GNPDA2	0.996776003326033	1	0.989234743036076	0.995029828107759	0.997865779003203	0.992650577851673	0.998953404506396	1	1	0.240150606028756
GNPNAT1	0.995499200042914	1	0.966705071854347	0.9803930551632	0.992461490619705	0.974254884853827	0.995616394852352	1	1	0.151107021562583
GNPTAB	0.995826932992301	0.998100240679122	0.919860940890766	0.987637614274006	0.905729820896239	0.895653767985197	0.997203146397056	1	1	0.150845450830424
GNPTG	0.982663191686542	0.998407163513956	0.845328397817738	0.987101565599038	0.862951670431704	0.540387243173343	1	1	1	0.237646924629251
GNRH1	0.999350512852975	1	0.992811772708677	0.995757236907398	0.996839226961767	1	0.9983103009044	1	1	0.150815414822979
GNRH2	1	1	0.999883252993926	0.999958197781961	0.999643865585454	0.999864316277279	1	1	1	0.0425405195501308
GNRHR	1	1	1	1	1	1	1	1	1	0.239886492233836
GNRHR2	0.99958744161542	1	0.998075994022582	0.998833383596513	0.999761924057262	0.998995571447207	0.99999610193851	1	1	0.150410795575981
GNS	1	0.994556580561033	0.97348871592149	1	1	0.749744643345758	1	1	1	0.150314512135509
GOLGA1	0.987481704615963	0.997977153958661	0.979862086980283	0.992534876972405	0.987181580663028	0.975634421466414	0.9981686598301	0.997688364073579	0.999797486660483	0.0428807431055834
GOLGA2	0.99253938894841	0.995290420625485	0.981811487777437	0.993938134296314	0.985628713318421	0.963679513148357	1	0.996359757063734	0.99889211513099	0.151473882397603
GOLGA2P2Y	1	1	1	0.999999684902277	0.999999708214194	1	1	0.999998236534611	0.999999597085532	0.0425387325987513
GOLGA2P5	0.993462395896489	0.99946979771924	0.995644676948388	0.996097307177176	0.998188403406867	0.999030919721864	1	0.998355490643093	0.999087046408694	0.15062230622579
GOLGA2P7	0.998507595730757	1	0.997925313362788	0.998691751012218	0.999020244600004	0.998847203580772	1	1	1	0.150417371809727
GOLGA2P9	0.999999457570734	1	1	1	1	1	0.999998786141448	1	1	0.150409510165347
GOLGA3	0.96612056143238	0.993402501061177	0.939297882346414	0.980464402742868	0.967957897889275	0.927828180636789	0.993560315668595	1	1	0.153390496889225
GOLGA4	0.991982891556572	0.999483922383622	0.97625164309212	0.991382484461171	0.994205292959045	0.984011672788172	0.998871459995659	0.989921543450731	0.997937198135441	0.240514249065247
GOLGA5	0.966806846191202	1	0.704201880473231	0.925215197248394	0.905303200895865	0.603269156748348	0.985998597585419	1	1	0.150596094049798
GOLGA6A	0.999944086514896	0.999975071993423	0.999911225764924	0.999968885252607	0.999991149172093	0.999973735254728	0.999999901004859	1	0.999951222760149	0.239897803202307
GOLGA6B	0.999986913249205	0.999992043277717	0.999982977907775	1	1	0.999963716862632	1	0.999983616255586	1	0.150412433822901
GOLGA6C	0.99999727009931	1	1	1	1	0.999984921183224	0.999999378112268	0.999991194954324	1	0.239887586051555
GOLGA6D	0.999977509863155	1	1	0.99999451478189	1	1	1	1	0.99999111533431	0.239886884858345
GOLGA6L1	0.999999276991381	0.999999625243763	1	1	1	0.999998770532478	1	1	1	0.0425387595008326
GOLGA6L10	0.999435424558027	0.999980441811622	0.999586196779137	0.999566213177498	0.99971102220965	0.999861292131148	1	0.999904355360897	0.999909343406885	0.0425433708698164
GOLGA6L2	1	1	0.999999930388317	1	1	1	1	0.999999120025481	0.999999951813696	0.0425387259212586
GOLGA6L22	1	0.999999120103232	0.999999964122676	0.999999999343334	1	0.999999836404925	1	0.99999996697762	1	0.150409436320066
GOLGA6L3	1	1	0.999980876615317	0.999972993747262	0.999991547907733	0.999983200528765	0.999999685407437	1	1	0.150409850995643
GOLGA6L4	0.999345141141875	0.999848336877447	0.997982194576168	0.999287122629988	0.99975705989912	0.999546209669817	1	0.999945668348377	0.999202278564782	0.0425525212216637
GOLGA6L6	1	1	1	1	1	1	1	1	1	0.239886492233836
GOLGA6L7	1	0.999999837015482	0.999999298898267	0.99999708237786	0.999999759786617	1	1	0.999999051797592	1	0.239886612018027
GOLGA6L9	0.998489114766684	1	0.998259093703183	0.996602859446251	0.999433961100239	0.999686236852105	0.999173983963999	0.998787947012946	1	0.0425895524542331
GOLGA7	0.985303407258286	1	0.84247910510418	0.948864042584235	0.920763415798954	0.78534168791604	1	1	1	0.0417484829330192
GOLGA7B	0.998372932467786	0.999680376402389	0.995431658062199	0.995414772432836	0.997309530857964	0.998151871209839	0.998944461862423	1	0.999782092750175	0.240374111305878
GOLGA8A	0.929343927123744	0.978092631663563	0.934998374989866	0.927032005234582	0.957947989464458	0.9881675704492	0.987570549570782	0.964444221983946	0.988850522385665	0.0462508304287637
GOLGA8B	0.94795040056414	0.989851361528753	0.93662175390301	0.941972863684947	0.974863889560773	0.999955251899021	0.984913522378719	0.981200169802889	0.98224839754821	0.156428011141231
GOLGA8CP	0.99999974945622	1	0.999999803080218	1	1	1	1	0.999999278126222	1	0.23988651360445
GOLGA8DP	1	0.999999722520389	1	0.999995960307247	1	1	1	1	1	0.150409291160345
GOLGA8F	1	1	1	1	0.99999891754662	1	1	1	1	0.150409216732533
GOLGA8G	1	1	1	1	0.99999840004832	1	0.999997826445234	1	0.999997132423351	0.150409725827954
GOLGA8H	1	0.999933171962649	1	1	0.999754107853025	0.999283517264006	1	1	0.999906477124205	0.150422036579918
GOLGA8IP	0.999988044171128	1	0.999939208779195	0.999946346959468	0.99986408490833	0.999981521739297	1	0.999971413783842	1	0.0425385265972795
GOLGA8J	1	1	0.999993835798207	0.99997450052899	1	0.999990367829725	1	1	0.999977754165116	0.150408265484658
GOLGA8K	0.999862167510399	0.999550359239551	0.999595959869496	1	0.999661604046146	0.999033418228764	1	1	0.999961801953429	0.0425747919936266
GOLGA8M	0.999919451996057	0.999962035998079	0.999884150578978	0.999632844834475	0.99983953999401	0.999779287536428	1	0.999863441611128	0.999833968483247	0.150423785873438
GOLGA8N	0.998977190364428	1	0.994710178938069	1	0.986818811113594	0.992691517705012	1	0.998264879376157	0.998976038785462	0.150443574437299
GOLGA8O	1	0.999241258786262	0.999873885128338	1	0.993038152519026	0.999129123955342	1	1	0.998939323624705	0.0426179779875277
GOLGA8Q	1	0.998846751218539	0.999409307842282	1	0.997215588825799	0.998718139888366	1	1	0.998947720199533	0.150693053452971
GOLGA8R	0.999769030322335	0.999913416787465	0.998271774503962	1	0.995876541314973	0.998222777249904	1	1	0.999367072699019	0.15043926732103
