"","X","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"239","CNPY4","CNPY4",0.736300188300943,9.36680549639265e-14,1.14557206970526e-12,"group2-group1"
"245","LAT2","LAT2",0.812042466090303,1.26494315480409e-13,1.50915462918055e-12,"group2-group1"
"248","HSBP1","HSBP1",1.04208085502601,1.57473725511943e-13,1.85603104706214e-12,"group2-group1"
"249","CHMP6","CHMP6",0.568385537668297,1.59189605948805e-13,1.86871975176046e-12,"group2-group1"
"252","ACYP1","ACYP1",0.852756008728721,1.72680240388783e-13,2.00295374070005e-12,"group2-group1"
"253","DARS1","DARS1",0.824445233858834,1.99868775099471e-13,2.30915584828362e-12,"group2-group1"
"256","GYS1","GYS1",0.921891062333146,2.29052035424293e-13,2.61530898259847e-12,"group2-group1"
"257","ABL1","ABL1",0.702220814661747,2.35952751551971e-13,2.6836182598693e-12,"group2-group1"
"262","GMPR","GMPR",0.765384281331732,3.16467130749462e-13,3.53066192053694e-12,"group2-group1"
"263","DNM1","DNM1",1.49317674912432,3.23468100304977e-13,3.59504660529067e-12,"group2-group1"
"264","GRHPR","GRHPR",0.973830059893351,3.27071727978681e-13,3.62132826091547e-12,"group2-group1"
"265","ARHGAP1","ARHGAP1",0.663352741815491,3.52367363914399e-13,3.88667850838411e-12,"group2-group1"
"266","DFFA","DFFA",0.70016912321137,4.04909696925007e-13,4.44944001545788e-12,"group2-group1"
"267","MAP2K6","MAP2K6",0.866670334688249,4.14001253203861e-13,4.53230585436286e-12,"group2-group1"
"268","DRG2","DRG2",0.567398637795147,4.37564087812276e-13,4.77238742043016e-12,"group2-group1"
"269","GGACT","GGACT",0.734732665005398,4.5068569359445e-13,4.89722781552631e-12,"group2-group1"
"270","CORO1A","CORO1A",1.22343739429325,4.62098296955256e-13,5.00264193333412e-12,"group2-group1"
"271","FXYD5","FXYD5",0.807461696829613,4.75450112796036e-13,5.12819439004729e-12,"group2-group1"
"272","FIS1","FIS1",1.00191158708675,4.84946170840352e-13,5.21138844619981e-12,"group2-group1"
"273","FLI1","FLI1",0.988681960908637,5.18784477747729e-13,5.55460449984107e-12,"group2-group1"
