Abundances..Normalized...F16..127C..Sample..5A	Abundances..Normalized...F16..127N..Sample..5B	Abundances..Normalized...F16..128C..Sample..2B	Abundances..Normalized...F16..129C..Sample..2A	Abundances..Normalized...F16..130C..Sample..1A	Abundances..Normalized...F16..130N..Sample..4B	Abundances..Normalized...F16..131N..Sample..1B	Abundances..Normalized...F16..132C..Sample..4A	Abundances..Normalized...F16..132N..Sample..6A	Abundances..Normalized...F16..133C..Sample..3A	Abundances..Normalized...F16..133N..Sample..6B	Abundances..Normalized...F16..134N..Sample..3B
3677838.66825774	3747198.94546468	4109796.75362619	4368755.12966357	5613488.53066405	3671568.45801919	5962027.22684803	3801260.1518327	4169505.99484516	5063318.08078044	4176092.88649741	5126564.22040002
3677838.66825774	3747198.94546468	4109796.75362619	4368755.12966357	5613488.53066405	3671568.45801919	5962027.22684803	3801260.1518327	4169505.99484516	5063318.08078044	4176092.88649741	5126564.22040002
1489486.56364542	1306206.82704811	1348407.18918044	1463857.85270886	1388769.70643784	1276512.14060635	1202807.73806265	1450719.32785563	1363215.44815831	1380223.40613238	1395794.38480474	1405386.30847829
2638084.13150236	2937921.90859219	3001063.29682395	2394700.07958121	2886057.524921	2666466.66587902	3188822.88223787	2412849.91108317	2886509.62193459	3338228.73203949	2748195.32796235	3235260.42247945
5771964.54771181	5629828.06360502	5335809.4443079	5535673.40781743	5728918.43530175	5365054.94729576	5257019.57113355	5672587.39345443	5473281.32141504	5144311.76474393	5322119.8128472	5266361.10458505
7969714.19209711	8547543.92937173	9007390.52896626	7951008.69963316	7255801.39283814	7396389.11836991	7706667.39110384	7041789.21912926	7221307.61088131	6650076.40574144	7603230.73481773	7751350.59935617
4201893.42279777	4222417.6157345	4286924.89556084	4230847.42624703	3614246.03428558	4144993.94446639	3670953.77099016	3985798.74338368	3813383.35737178	3128481.58009375	3936750.9682592	3474719.46713751
3273513.21289861	3276069.78730449	3561550.38582288	4014969.69768619	5375640.249838	3313049.62957358	5434769.76391533	3456260.15365141	3771667.02442036	4770513.84152619	3820480.51345713	4800116.60510682
6591683.73932816	6444869.82409123	6367867.8540215	6633410.18384159	6864192.32812252	6291802.76833956	6200921.39900544	7051237.96890068	6344319.65222701	5679094.86203371	6427265.85376755	6194426.9928894
17092475.2589933	18994736.9576296	17496234.7094266	15421448.1937366	14689078.5685496	16574399.2790811	14932573.5101711	14961761.1197737	15602558.6683767	14382369.3996761	17980333.6286397	16003337.9865957
6746694.43795203	6585677.88003899	6149184.73909538	5949972.52501939	6087833.1501562	6439912.18652988	6411517.31052704	6408248.73602352	6434221.05977029	5437246.15580443	6480273.23823024	6085147.49865734
4775835.03525196	5244656.81081594	5044898.13163355	4694765.98012609	4606282.86695719	4574198.80723781	4600724.54396466	4670044.54648266	4387097.40260772	3871616.52778516	4773342.54336854	4241710.43029629
4285641.58289722	4911749.23246371	4574509.44574002	3900601.31749365	3917501.5131318	4036032.04880429	4034498.8797587	3929121.44876614	4020591.90257073	3627043.88971239	4187896.1335082	4079638.32302906
