"","x"
"761","FKBP2"
"762","RANGAP1"
"763","NRBP1"
"764","LETM1"
"765","PRKAR2B"
"766","ATG7"
"767","DDX5"
"768","ARHGAP18"
"769","STX12"
"770","HM13"
"771","RAB11B"
"772","CWC25"
"773","PRDX6"
"774","PDIA6"
"775","SEPTIN5"
"776","TAPBP"
"777","OTC"
"778","SH3BGRL3"
"779","H1-2"
"780","HDHD2"
"781","CCT3"
"782","PRKCA"
"783","SNX18"
"784","THRAP3"
"785","TSHZ3"
"786","STAT1"
"787","RASGRP2"
"788","PDXDC1"
"789","TMED8"
"790","ATP2A2"
"791","QKI"
"792","CASP3"
"793","XRCC6"
"794","RAP2B"
"795","CCT7"
"796","YWHAQ"
"797","CAPZA1"
"798","TARS1"
"799","CIAO2A"
"800","SCAMP2"
"801","TYMP"
"802","GPX1"
"803","ERBIN"
"804","CD40"
"805","H1-5"
"806","FGR"
"807","MAPK3"
"808","RPSA"
"809","UBASH3B"
"810","NDUFA9"
"811","AHCYL2"
"812","COLGALT1"
"813","GLCE"
"814","CYB5R1"
"815","SLC9B2"
"816","STRN4"
"817","ITGAM"
"818","VAMP8"
"819","NDUFA7"
"820","STMN1"
"821","RPL34"
"822","FBL"
"823","FERMT2"
"824","RAP1GDS1"
"825","ARPC2"
"826","AASDHPPT"
"827","SUMO4"
"828","DOCK10"
"829","USP47"
"830","RPL11"
"831","RAB14"
"832","CYBA"
"833","HIKESHI"
"834","FEM1C"
"835","EIF4A1"
"836","RPS3"
"837","SOGA1"
"838","LMNB2"
"839","ACTN4"
"840","PCYOX1L"
"841","NCKAP1"
"842","TPP1"
"843","ATP6V0D1"
"844","TPT1"
"845","ACTN3"
"846","PYGL"
"847","ATL3"
"848","TPD52L2"
"849","SCIN"
"850","IPO5"
"851","CD53"
"852","PSMD4"
"853","SDHA"
"854","TRIM28"
"855","FKBP15"
"856","SLC9A9"
"857","XRCC5"
"858","TES"
"859","DAGLB"
"860","POFUT1"
"861","TRIM58"
"862","FH"
"863","UBE2O"
"864","NDUFB8"
"865","FLII"
"866","ARMC10"
"867","RAB37"
"868","METTL7A"
"869","SUCLA2"
"870","APPL2"
"871","NDUFA8"
"872","PDIA3"
"873","TCP1"
"874","STK24"
"875","ZMPSTE24"
"876","RIT1"
"877","ATP6V1A"
"878","ATIC"
"879","TBCA"
"880","NAIP"
"881","QARS1"
"882","KRT1"
"883","TNS3"
"884","HLA-B"
"885","MAPK14"
"886","PTPN1"
"887","TKT"
"888","MPL"
"889","COX6B1"
"890","PURA"
"891","GCSH"
"892","EXOC3L2"
"893","CD14"
"894","TRAF6"
"895","PPP6C"
"896","COPS3"
"897","CBFB"
"898","AKT2"
"899","HNRNPL"
"900","FYN"
"901","POTEJ"
"902","IFT172"
"903","HSPE1"
"904","UQCRH"
"905","TXNRD1"
"906","ENTR1"
"907","PLCG2"
"908","CPT1B"
"909","RDH11"
"910","ARPC5"
"911","AP1G1"
"912","ARHGAP25"
"913","MAP2K2"
"914","CD226"
"915","RAC1"
"916","DDX39B"
"917","DUSP3"
"918","UROD"
"919","RAN"
"920","PLIN3"
"921","PRDX4"
