"","x"
"1196","AGPAT1"
"1197","PCYOX1L"
"1198","ANKFY1"
"1199","SIRPB1"
"1200","CD84"
"1201","DAZAP1"
"1202","SNAP29"
"1203","KRT1"
"1204","SSR3"
"1205","EGF"
"1206","SUN2"
"1207","PFDN6"
"1208","DAAM1"
"1209","QKI"
"1210","IMPAD1"
"1211","HPX"
"1212","H1-3"
"1213","TOMM22"
"1214","SAA4"
"1215","NHLRC2"
"1216","C1QA"
"1217","MYH8"
"1218","APOC1"
"1219","EPS15L1"
"1220","PON1"
"1221","SRPRA"
"1222","SPCS2"
"1223","TSC22D4"
"1224","APOC3"
"1225","APOA2"
"1226","LRRFIP1"
"1227","SEC31A"
"1228","ITIH2"
"1229","PREP"
"1230","CFB"
"1231","TF"
"1232","SUB1"
"1233","CD40"
"1234","CAD"
"1235","APOA1"
"1236","EIF3B"
"1237","SERPINC1"
"1238","AHSG"
"1239","SERPINA1"
"1240","APOC2"
"1241","AASS"
"1242","AFG3L2"
"1243","HP"
"1244","SERPINA3"
