"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"SUSD1","SUSD1",1.10901630434783,1.11256002575205e-05,0.000216774860516895,"group2-group1"
"HNRNPK","HNRNPK",1.70327468944099,1.11984276216391e-05,0.000216774860516895,"group2-group1"
"MAP4K5","MAP4K5",1.41984627329193,1.14473930351324e-05,0.000220136380537447,"group2-group1"
"MTSS1","MTSS1",1.40445916149068,1.16229746115735e-05,0.000222051992089081,"group2-group1"
"GYS1","GYS1",1.33521211180124,1.19094827877392e-05,0.000226048170055595,"group2-group1"
"GGCT","GGCT",1.08425900621118,1.26601089073507e-05,0.000236054895042339,"group2-group1"
"PSTPIP2","PSTPIP2",2.44893121118012,1.27180630701317e-05,0.000236054895042339,"group2-group1"
"CLIP2","CLIP2",2.64591801242236,1.27380170537109e-05,0.000236054895042339,"group2-group1"
"UBE2L6","UBE2L6",0.968062732919255,1.27597240563427e-05,0.000236054895042339,"group2-group1"
"IL7","IL7",1.259725,1.30107724570478e-05,0.000239185458439941,"group2-group1"
"JPT2","JPT2",1.80339301242236,1.3613899085842e-05,0.000248708918924477,"group2-group1"
"TOP2B","TOP2B",1.03941739130435,1.40529503182876e-05,0.000255135240871767,"group2-group1"
"CORO1A","CORO1A",1.56918167701863,1.43711545862792e-05,0.000259301758368482,"group2-group1"
"DNAJC6","DNAJC6",1.87332422360248,1.4960081581541e-05,0.000268271892410088,"group2-group1"
"HGS","HGS",1.75440388198758,1.57022210327477e-05,0.000279863366333668,"group2-group1"
"HSPA1A","HSPA1A",0.971033850931677,1.60036864213347e-05,0.000283507729754917,"group2-group1"
"SAMD9L","SAMD9L",1.13104906832298,1.64774891734263e-05,0.00028969209552551,"group2-group1"
"PF4","PF4",1.7465152173913,1.66378635230883e-05,0.00028969209552551,"group2-group1"
"DIABLO","DIABLO",2.31659332298137,1.66501101773129e-05,0.00028969209552551,"group2-group1"
"CCN2","CCN2",0.956000465838509,1.68449009017507e-05,0.000291347013821404,"group2-group1"
"ITGB1BP1","ITGB1BP1",1.37333152173913,1.70813198537125e-05,0.000293698223131774,"group2-group1"
"PDGFB","PDGFB",2.54854254658385,1.77177920047264e-05,0.000302860269180207,"group2-group1"
"FKBP4","FKBP4",1.13044177018634,1.84234269380187e-05,0.000313091144999004,"group2-group1"
"SERPINH1","SERPINH1",2.76523043478261,1.8707752354991e-05,0.000316085318691554,"group2-group1"
"DOK1","DOK1",1.79093913043478,1.91168840096844e-05,0.000321141677932801,"group2-group1"
"PDGFA","PDGFA",1.76576583850932,1.94973908393223e-05,0.000325662133847651,"group2-group1"
"PPIB","PPIB",1.61531226708075,2.00392255826403e-05,0.0003328105476026,"group2-group1"
"WASF3","WASF3",3.63925341614907,2.02211620236552e-05,0.000333934783023413,"group2-group1"
"DPY30","DPY30",1.16044223602484,2.03957542954976e-05,0.000334925785425503,"group2-group1"
"GLRX5","GLRX5",1.36152810559006,2.05292905173876e-05,0.00033523528593477,"group2-group1"
"NUB1","NUB1",0.956348447204969,2.07060087751845e-05,0.000336242575832579,"group2-group1"
"YES1","YES1",1.0266001552795,2.10215074594368e-05,0.000339479924331126,"group2-group1"
"SERPINB9","SERPINB9",0.97187453416149,2.13583772945304e-05,0.000341706910630758,"group2-group1"
"MAP2K1","MAP2K1",0.909960559006211,2.13932140422267e-05,0.000341706910630758,"group2-group1"
"TXNDC9","TXNDC9",0.784846583850932,2.15129001682279e-05,0.000341751126042012,"group2-group1"
"MIF","MIF",1.35985062111801,2.17417548254548e-05,0.000341899877708333,"group2-group1"
"CRYBB1","CRYBB1",1.13418695652174,2.17562015921143e-05,0.000341899877708333,"group2-group1"
"FXYD5","FXYD5",1.30489565217391,2.19971515261597e-05,0.000342811668053426,"group2-group1"
"DCTD","DCTD",1.82672608695652,2.21455932753281e-05,0.000342811668053426,"group2-group1"
"DNM1","DNM1",2.34018027950311,2.21660640650351e-05,0.000342811668053426,"group2-group1"
"MED18","MED18",1.01612468944099,2.25701482565164e-05,0.000347223912388408,"group2-group1"
"GLOD4","GLOD4",0.815331832298137,2.6529105086628e-05,0.000405992534912114,"group2-group1"
"EHD3","EHD3",2.41363618012422,2.6776617040047e-05,0.000407646102125299,"group2-group1"
"ZFYVE19","ZFYVE19",1.80198152173913,2.71333352268612e-05,0.00041093647081925,"group2-group1"
"GPI","GPI",1.0237852484472,2.85874179362055e-05,0.000430726920760457,"group2-group1"
"SARG","SARG",1.82445124223602,2.87932954051505e-05,0.000431604115226948,"group2-group1"
"ERP29","ERP29",1.98885838509317,2.93033274369018e-05,0.000437008296418694,"group2-group1"
"PARK7","PARK7",1.10238618012422,2.98880264297334e-05,0.000441722758024546,"group2-group1"
"STK11","STK11",1.08337142857143,2.99216921275607e-05,0.000441722758024546,"group2-group1"
"PIBF1","PIBF1",0.997434937888199,3.06777661026885e-05,0.00045060859456361,"group2-group1"
"MGMT","MGMT",2.51117142857143,3.12502149981828e-05,0.000455015736047048,"group2-group1"
"TMSB10","TMSB10",1.42010046583851,3.12891423008747e-05,0.000455015736047048,"group2-group1"
"ERBIN","ERBIN",1.58130854037267,3.18998085654228e-05,0.000461599705132331,"group2-group1"
"MINDY1","MINDY1",1.24672236024845,3.28260876095891e-05,0.000472663320605069,"group2-group1"
"TARS1","TARS1",0.887969720496894,3.42778829302686e-05,0.000491148293162622,"group2-group1"
"DCTN2","DCTN2",1.63740155279503,3.46939074736956e-05,0.000494684349002986,"group2-group1"
"RBM17","RBM17",0.985341459627329,3.53259938186169e-05,0.000501251844329209,"group2-group1"
"FKBPL","FKBPL",1.00554456521739,3.60782630862065e-05,0.000509452961357399,"group2-group1"
"LATS1","LATS1",2.15319875776397,3.72818753278056e-05,0.000522296810654811,"group2-group1"
"CMC1","CMC1",1.04240916149068,3.73452047303645e-05,0.000522296810654811,"group2-group1"
"PPP1CC","PPP1CC",1.00532748447205,3.80307857763629e-05,0.000529352318210994,"group2-group1"
"DBI","DBI",1.21866863354037,3.847140811627e-05,0.000532947516226811,"group2-group1"
"RGCC","RGCC",1.73876335403727,4.08305233319002e-05,0.000562960470278983,"group2-group1"
"DXO","DXO",1.18348229813665,4.16574733350071e-05,0.000571665702151294,"group2-group1"
"ARF6","ARF6",2.73982841614907,4.24141256602833e-05,0.000579329389275739,"group2-group1"
"MAX","MAX",2.26668276397516,4.39076025164565e-05,0.000596939172816755,"group2-group1"
"NUDT2","NUDT2",1.50913027950311,4.63674410867746e-05,0.000627308260798685,"group2-group1"
"ABHD14B","ABHD14B",1.18483090062112,4.66842708767209e-05,0.000627308260798685,"group2-group1"
"NFE2","NFE2",0.958196428571428,4.6785220955906e-05,0.000627308260798685,"group2-group1"
"BAX","BAX",1.47139736024845,4.8359588413809e-05,0.000645456972299377,"group2-group1"
"SPARC","SPARC",1.13613105590062,5.17413877264962e-05,0.00068745489238431,"group2-group1"
"MSRA","MSRA",1.30893928571429,5.20335597778324e-05,0.000687566714762055,"group2-group1"
"GGACT","GGACT",1.083775,5.22202568173713e-05,0.000687566714762055,"group2-group1"
"PLCB2","PLCB2",2.24432422360248,5.44157863337652e-05,0.000713261629836751,"group2-group1"
"PTRHD1","PTRHD1",1.29633214285714,5.53162950785664e-05,0.000721828261226115,"group2-group1"
"AP3B1","AP3B1",1.04194658385093,5.72425448686179e-05,0.000743644260670979,"group2-group1"
"TBC1D23","TBC1D23",1.24318944099379,5.83889118386724e-05,0.000755180483647962,"group2-group1"
"SPRY2","SPRY2",2.07323276397516,6.08046433257486e-05,0.00078296023101834,"group2-group1"
"VAMP8","VAMP8",1.08064922360248,6.27036701511347e-05,0.000803872051981433,"group2-group1"
"DAAM1","DAAM1",1.10454068322981,6.34354049818654e-05,0.000806234732395769,"group2-group1"
"CC2D1A","CC2D1A",0.952779192546583,6.34396128809534e-05,0.000806234732395769,"group2-group1"
"LGALS8","LGALS8",0.78315450310559,6.42827904539276e-05,0.000813413837648616,"group2-group1"
"GADD45GIP1","GADD45GIP1",1.06627158385093,6.64344108528774e-05,0.000837016305702417,"group2-group1"
"LSM1","LSM1",1.08193633540373,6.78019449341303e-05,0.000850579764130742,"group2-group1"
"CEP20","CEP20",1.2390498447205,6.95195592770595e-05,0.000868400306695918,"group2-group1"
"CTF1","CTF1",1.92502950310559,7.04263500652292e-05,0.000875983920173042,"group2-group1"
"NUDC","NUDC",0.846657763975155,7.20523978833291e-05,0.000892411690732928,"group2-group1"
"TREML1","TREML1",1.00650450310559,7.25185994448288e-05,0.000894396059819555,"group2-group1"
"SPART","SPART",0.735641149068323,7.31689523078912e-05,0.000898625410067084,"group2-group1"
"ARHGEF1","ARHGEF1",1.8693200310559,7.49869590275329e-05,0.000917099921495726,"group2-group1"
"STIP1","STIP1",1.16197375776398,7.55108629650769e-05,0.000919659385195499,"group2-group1"
"PPP1R2","PPP1R2",1.15605419254658,8.31627611854416e-05,0.00100865041885911,"group2-group1"
"APLP1","APLP1",-1.10777298136646,8.49455139251336e-05,0.00102601544298829,"group2-group1"
"ARSB","ARSB",0.776600465838509,8.58879944605835e-05,0.00103313007328513,"group2-group1"
"ATP6V1G1","ATP6V1G1",1.24137841614907,9.00196239571326e-05,0.00107839082306024,"group2-group1"
"LYN","LYN",1.24866956521739,9.18717407063074e-05,0.00109290540945385,"group2-group1"
"GOPC","GOPC",2.04485527950311,9.19790389071666e-05,0.00109290540945385,"group2-group1"
"BDNF","BDNF",2.58944254658385,9.59022029548676e-05,0.00113490744630396,"group2-group1"
"EIF4B","EIF4B",1.70812655279503,9.92156114861939e-05,0.00116938400150865,"group2-group1"
"CXCL1","CXCL1",0.971255590062112,0.000106534963355234,0.00125060922846325,"group2-group1"
"CNPY4","CNPY4",1.0859998447205,0.000118948032023484,0.00139074039041857,"group2-group1"
"UBXN1","UBXN1",1.13556940993789,0.000119897755925222,0.00139625952418097,"group2-group1"
"CXCL11","CXCL11",1.20795962732919,0.000121783376325919,0.00141259051190738,"group2-group1"
"INPP1","INPP1",0.725479658385093,0.000124911917049421,0.00144315230646426,"group2-group1"
"FKBP14","FKBP14",1.26941661490683,0.000125523988906198,0.00144451425028668,"group2-group1"
"CDC42BPB","CDC42BPB",0.667826242236025,0.000126519402124149,0.00145025965650544,"group2-group1"
"TRIAP1","TRIAP1",0.997856366459627,0.000129912648194842,0.00148333855731845,"group2-group1"
"PGD","PGD",0.919951086956522,0.000133070816150987,0.00151348636423865,"group2-group1"
"IMPA1","IMPA1",0.683358385093168,0.000134968842080448,0.00152912374186492,"group2-group1"
"THTPA","THTPA",1.04886972049689,0.000143985290889302,0.00162497685432212,"group2-group1"
"USO1","USO1",1.40190310559006,0.000145041500802207,0.0016306011801725,"group2-group1"
"STXBP3","STXBP3",0.995406211180124,0.00014890714783758,0.00166764595068676,"group2-group1"
"HEXIM1","HEXIM1",0.754056055900621,0.000150114122077864,0.0016747464840977,"group2-group1"
"TNFAIP8L2","TNFAIP8L2",1.25240760869565,0.000151585714824916,0.00168473400925182,"group2-group1"
"SRP14","SRP14",0.77958152173913,0.0001606543524241,0.00177876012172593,"group2-group1"
"GZMH","GZMH",0.941850155279504,0.000164759384663573,0.00181732709951556,"group2-group1"
"SEC31A","SEC31A",1.13470357142857,0.000168806569112663,0.00185122575506303,"group2-group1"
"NMT1","NMT1",1.29600170807453,0.000169173883684714,0.00185122575506303,"group2-group1"
"MTPN","MTPN",0.684141925465838,0.000170039165574667,0.00185122575506303,"group2-group1"
"TPMT","TPMT",1.02824565217391,0.000170365969248018,0.00185122575506303,"group2-group1"
"SCAMP3","SCAMP3",1.02271739130435,0.000171375334224627,0.00185529667384661,"group2-group1"
"HBEGF","HBEGF",0.971938975155279,0.000173572494318039,0.00187214908078092,"group2-group1"
"EDF1","EDF1",1.31383928571429,0.000180130730961343,0.00193574311250002,"group2-group1"
"MYDGF","MYDGF",1.70518322981366,0.000187982693104921,0.00201272312068016,"group2-group1"
"NDUFB7","NDUFB7",1.04156677018634,0.00019047606564373,0.00203197642290738,"group2-group1"
"PDCD5","PDCD5",1.00862251552795,0.000199447051913716,0.00211994084634106,"group2-group1"
"TXLNA","TXLNA",0.75008400621118,0.000203315462828279,0.0021532286153879,"group2-group1"
"STK4","STK4",1.34041878881988,0.000204396073601295,0.00215685820626926,"group2-group1"
"NUDT5","NUDT5",0.833165527950311,0.000211453062918105,0.00222329965075404,"group2-group1"
"ANKMY2","ANKMY2",0.832775465838509,0.00021335949714712,0.00222851878870508,"group2-group1"
"HHEX","HHEX",1.01034611801242,0.000213897008447443,0.00222851878870508,"group2-group1"
"AKR1B1","AKR1B1",1.70993959627329,0.00021423666767914,0.00222851878870508,"group2-group1"
