"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp" "Gene_name"
"Q3ZCM7" "Q3ZCM7" 21.5740025585588 5.20777372432178e-20 1.17666208205195e-19 "CB" "TUBB8"
"P06744" "P06744" 19.28749332881 5.3060706205703e-20 1.19324311138647e-19 "CB" "GPI"
"O95866" "O95866" 20.0353102455566 5.34763426211463e-20 1.19697047268828e-19 "CB" "MPIG6B"
"P49588" "P49588" 18.3909069410012 5.46431815919478e-20 1.217399255002e-19 "CB" "AARS1"
"Q71UI9" "Q71UI9" 20.1681767456809 5.63092353420271e-20 1.23725338205647e-19 "CB" "H2AZ2"
"P0C0S5" "P0C0S5" 20.1681767456809 5.63092353420271e-20 1.23725338205647e-19 "CB" "H2AZ1"
"P16104" "P16104" 20.1681767456809 5.63092353420271e-20 1.23725338205647e-19 "CB" "H2AX"
"P40939" "P40939" 17.0975563664815 5.88414371051121e-20 1.2827164244688e-19 "CB" "HADHA"
"O75874" "O75874" 19.3219111587304 5.90249992289237e-20 1.2827164244688e-19 "CB" "IDH1"
"P08670" "P08670" 19.224300645584 5.91816972458465e-20 1.2827164244688e-19 "CB" "VIM"
"P22626" "P22626" 18.5187938810926 5.95216889603272e-20 1.28427427981967e-19 "CB" "HNRNPA2B1"
"P27824" "P27824" 21.1754276763756 6.08408364917057e-20 1.30685025468731e-19 "CB" "CANX"
"Q86UX7" "Q86UX7" 22.4623220261731 6.20553337904331e-20 1.32503474036901e-19 "CB" "FERMT3"
"Q15404" "Q15404" 20.1660934393704 6.2240671520465e-20 1.32503474036901e-19 "CB" "RSU1"
"P61769" "P61769" 20.9812701549296 6.30423855177077e-20 1.33616383464522e-19 "CB" "B2M"
"P02774" "P02774" 20.4391363195297 6.50252287839289e-20 1.37068893110705e-19 "CB" "GC"
"P00739" "P00739" 19.5374412052418 6.55298048483326e-20 1.37068893110705e-19 "CB" "HPR"
"P00738" "P00738" 19.5374412052418 6.55298048483326e-20 1.37068893110705e-19 "CB" "HP"
"P21291" "P21291" 19.6608448778275 6.78075209132807e-20 1.40035167515872e-19 "CB" "CSRP1"
"P04439" "P04439" 20.330012926307 6.78739223956936e-20 1.40035167515872e-19 "CB" "HLA-A"
"P11216" "P11216" 19.4136246857743 6.85747169837456e-20 1.40035167515872e-19 "CB" "PYGB"
"P06737" "P06737" 19.4136246857743 6.85747169837456e-20 1.40035167515872e-19 "CB" "PYGL"
"P11217" "P11217" 19.4136246857743 6.85747169837456e-20 1.40035167515872e-19 "CB" "PYGM"
"P02766" "P02766" 18.2667600679865 6.89352066852284e-20 1.40035167515872e-19 "CB" "TTR"
"P56385" "P56385" 18.5065239660548 6.89943622833942e-20 1.40035167515872e-19 "CB" "ATP5ME"
"Q99439" "Q99439" 19.2453746988299 6.96974664514243e-20 1.40865343587478e-19 "CB" "CNN2"
"Q8NBJ5" "Q8NBJ5" 17.5609925247562 7.01023773244482e-20 1.41088398060549e-19 "CB" "COLGALT1"
"Q14697" "Q14697" 21.2709299868329 7.15642284770462e-20 1.43427888872406e-19 "CB" "GANAB"
"P68871" "P68871" 19.5401239497203 7.22540260572269e-20 1.44206993672549e-19 "CB" "HBB"
"B9A064" "B9A064" 20.6125208839922 7.47043697145418e-20 1.46137170271641e-19 "CB" "IGLL5"
"P0CG39" "P0CG39" 22.3555631163855 7.47465693456201e-20 1.46137170271641e-19 "CB" "POTEJ"
"Q8WUM4" "Q8WUM4" 18.140654053479 7.76152045836639e-20 1.51128792664939e-19 "CB" "PDCD6IP"
"Q9Y678" "Q9Y678" 19.0578925754117 7.90235329558965e-20 1.53248065934714e-19 "CB" "COPG1"
"P68133" "P68133" 22.6672549895554 8.37836966137301e-20 1.60495866627246e-19 "CB" "ACTA1"
"P68032" "P68032" 22.6672549895554 8.37836966137301e-20 1.60495866627246e-19 "CB" "ACTC1"
"Q15149" "Q15149" 19.941198702624 8.41011743704356e-20 1.60495866627246e-19 "CB" "PLEC"
"Q6PIF6" "Q6PIF6" 18.2424667558139 8.7219633643775e-20 1.65131243143748e-19 "CB" "MYO7B"
"P61978" "P61978" 18.7073877541083 8.75644126159974e-20 1.65131313555365e-19 "CB" "HNRNPK"
"Q8NBS9" "Q8NBS9" 18.8410682803574 8.99924992600599e-20 1.68384402912378e-19 "CB" "TXNDC5"
"Q96JJ7" "Q96JJ7" 18.8410682803574 8.99924992600599e-20 1.68384402912378e-19 "CB" "TMX3"
"P07339" "P07339" 18.6613345808102 9.48690125971627e-20 1.76132779201709e-19 "CB" "CTSD"
"P40925" "P40925" 18.1284307976153 9.55327593886114e-20 1.76680277016003e-19 "CB" "MDH1"
"O94919" "O94919" 17.8351311713306 9.79016378142983e-20 1.80041099496511e-19 "CB" "ENDOD1"
"P18054" "P18054" 19.4877184788694 9.81017264479944e-20 1.80041099496511e-19 "CB" "ALOX12"
"Q16762" "Q16762" 17.5853441593716 1.05175605097013e-19 1.92286697868204e-19 "CB" "TST"
"P23219" "P23219" 18.580371075089 1.07886129765567e-19 1.96492228736528e-19 "CB" "PTGS1"
"P11277" "P11277" 17.9200382266585 1.11529644119481e-19 2.02358710353149e-19 "CB" "SPTB"
"Q16143" "Q16143" 18.7283347340765 1.21241945406848e-19 2.18326661089775e-19 "CB" "SNCB"
"P37840" "P37840" 18.7283347340765 1.21241945406848e-19 2.18326661089775e-19 "CB" "SNCA"
"P58546" "P58546" 17.5327167943331 1.23502234290045e-19 2.21563933426709e-19 "CB" "MTPN"
"P11586" "P11586" 18.3857566724673 1.26555312591779e-19 2.26194010192023e-19 "CB" "MTHFD1"
