"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name","synaptic_prot"
"Q9ULJ1","Q9ULJ1",0.0257873607265964,0.713587611361745,0.821333223715725,"Control vs hc-like","ODF2L","yes"
"Q9NTM9","Q9NTM9",0.025113970543071,0.71372571939386,0.821333223715725,"Control vs hc-like","CUTC",NA
"P53611","P53611",0.0223283959904066,0.713851744641241,0.821333223715725,"Control vs hc-like","RABGGTB","yes"
"Q8WX77","Q8WX77",-0.0312453659416079,0.714294642592456,0.821690444435704,"Control vs hc-like","IGFBPL1",NA
"Q9P0J0","Q9P0J0",-0.0172370348423847,0.714708930189306,0.822014626844235,"Control vs hc-like","NDUFA13","yes"
"P25098","P25098",-0.0165887350106964,0.715062537723605,0.822268911522418,"Control vs hc-like","GRK2",NA
"Q13217","Q13217",-0.0181869191777402,0.715197978525792,0.822272272883554,"Control vs hc-like","DNAJC3",NA
"Q10567","Q10567",-0.0155680389779889,0.716040740617476,0.822973897353164,"Control vs hc-like","AP1B1","yes"
"Q5JWF2","Q5JWF2",0.0211635040986202,0.716073500694558,0.822973897353164,"Control vs hc-like","GNAS","yes"
"Q53HC9","Q53HC9",-0.0162520474963692,0.716393133305755,0.823188776326335,"Control vs hc-like","EIPR1",NA
"Q9UKJ3","Q9UKJ3",0.0426421985687497,0.716663805598701,0.823347327113486,"Control vs hc-like","GPATCH8",NA
"P05141","P05141",0.0282339548616335,0.71694515375195,0.823518082012375,"Control vs hc-like","SLC25A5","yes"
"Q08495","Q08495",-0.0205465783531942,0.71894475817048,0.8256109348467,"Control vs hc-like","DMTN","yes"
"Q9HCM2","Q9HCM2",0.0296688351865058,0.719218228760111,0.8256109348467,"Control vs hc-like","PLXNA4","yes"
"Q9UKU0","Q9UKU0",0.0193600489325263,0.719362921041304,0.8256109348467,"Control vs hc-like","ACSL6","yes"
"P16615","P16615",-0.0140136659052281,0.719415355737369,0.8256109348467,"Control vs hc-like","ATP2A2","yes"
"Q7L0J3","Q7L0J3",-0.0234035503540539,0.719521372947395,0.8256109348467,"Control vs hc-like","SV2A","yes"
"P35754","P35754",-0.0377484642539763,0.719633448609925,0.8256109348467,"Control vs hc-like","GLRX","yes"
"Q9NUQ7","Q9NUQ7",0.0156814993571963,0.719698557064593,0.8256109348467,"Control vs hc-like","UFSP2",NA
"Q9Y4H2","Q9Y4H2",0.0195428554516219,0.721374416678831,0.827380453880249,"Control vs hc-like","IRS2",NA
"P08243","P08243",0.0193308583454836,0.721741182097636,0.827473311153003,"Control vs hc-like","ASNS","yes"
"Q8IUR7","Q8IUR7",-0.0222216334102292,0.721791155523637,0.827473311153003,"Control vs hc-like","ARMC8",NA
"Q13617","Q13617",-0.0183321824697309,0.721855444523966,0.827473311153003,"Control vs hc-like","CUL2","yes"
"Q8WXD2","Q8WXD2",0.029822637879775,0.722116669713112,0.827498969516672,"Control vs hc-like","SCG3","yes"
"P56277","P56277",0.0348618128996669,0.722144547934372,0.827498969516672,"Control vs hc-like","CMC4",NA
"Q8WZ82","Q8WZ82",-0.0214800424452015,0.722608984443825,0.82787827704467,"Control vs hc-like","OVCA2",NA
"Q15392","Q15392",0.0406762893580535,0.72288002317079,0.828035913563735,"Control vs hc-like","DHCR24",NA
"Q9Y6M4","Q9Y6M4",0.0205169177624462,0.723019031748042,0.828042283498819,"Control vs hc-like","CSNK1G3","yes"
"Q14240","Q14240",-0.0232643499754204,0.724304254154854,0.829361117739596,"Control vs hc-like","EIF4A2","yes"
"Q8NFY4","Q8NFY4",-0.0376993976541513,0.724547406588074,0.829408236107833,"Control vs hc-like","SEMA6D",NA
"Q9Y2H2","Q9Y2H2",-0.0155190310425439,0.724612739394128,0.829408236107833,"Control vs hc-like","INPP5F",NA
"Q13423","Q13423",0.0202071190046738,0.725026958141097,0.82972930196708,"Control vs hc-like","NNT","yes"
"Q14699","Q14699",0.0375703109370829,0.725869623541512,0.830540478346872,"Control vs hc-like","RFTN1","yes"
"Q99470","Q99470",-0.0144317763299036,0.726094629518839,0.830644759617329,"Control vs hc-like","SDF2","yes"
"P62306","P62306",0.0255415562222723,0.726563572763737,0.831026831006001,"Control vs hc-like","SNRPF","yes"
"P35914","P35914",-0.0203697193490697,0.726790266699126,0.831026831006001,"Control vs hc-like","HMGCL",NA
"P31274","P31274",0.032422853373717,0.726845529007642,0.831026831006001,"Control vs hc-like","HOXC9",NA
"Q8N556","Q8N556",-0.0226824423058041,0.7269643253345,0.831026831006001,"Control vs hc-like","AFAP1",NA
