"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"CORO1A","CORO1A",1.19425795454546,3.18763424524845e-14,3.42553488928721e-13,"group2-group1"
"STXBP3","STXBP3",0.742485746753247,3.30556641928711e-14,3.53925664599862e-13,"group2-group1"
"SERPINE2","SERPINE2",0.644837727272727,3.31990678750933e-14,3.54163778828093e-13,"group2-group1"
"SPRY2","SPRY2",1.2736387987013,3.64787614817319e-14,3.87736072040372e-13,"group2-group1"
"GYS1","GYS1",0.884119025974025,4.21031083238624e-14,4.45896324748731e-13,"group2-group1"
"L3HYPDH","L3HYPDH",0.920861850649352,4.57969197609447e-14,4.83264969174157e-13,"group2-group1"
"SLA2","SLA2",1.38654126623377,5.20334497426325e-14,5.47099905027751e-13,"group2-group1"
"SHMT1","SHMT1",1.34675821428571,5.46345292487699e-14,5.72389709656467e-13,"group2-group1"
"EIF1AX","EIF1AX",1.01465538961039,5.54015320458015e-14,5.78352422035278e-13,"group2-group1"
"TBC1D23","TBC1D23",0.866953831168832,5.69906864473769e-14,5.92824827351183e-13,"group2-group1"
"SIAE","SIAE",0.415586980519481,6.04000152533422e-14,6.26061151012479e-13,"group2-group1"
"EIF2AK2","EIF2AK2",0.893712499999999,6.36302927033647e-14,6.5721323523652e-13,"group2-group1"
"STK11","STK11",0.675390616883118,6.45844343931853e-14,6.64719372293242e-13,"group2-group1"
"CASP8","CASP8",0.709523311688312,6.50475859905461e-14,6.67137171404793e-13,"group2-group1"
"GORASP2","GORASP2",0.591313766233767,7.5814719128031e-14,7.74847636402918e-13,"group2-group1"
"PCBP2","PCBP2",0.730965227272728,8.64392353654513e-14,8.8035499990667e-13,"group2-group1"
"PSRC1","PSRC1",0.629383928571429,8.82919122736836e-14,8.96101595749921e-13,"group2-group1"
"FDX2","FDX2",0.946673376623378,1.08398854394922e-13,1.09636626780746e-12,"group2-group1"
"CEP20","CEP20",0.84795685064935,1.12221041463231e-13,1.13111070412766e-12,"group2-group1"
"CAMSAP1","CAMSAP1",1.15537707792208,1.24204608573841e-13,1.24759474522796e-12,"group2-group1"
"NRGN","NRGN",0.813783051948052,1.32900145299978e-13,1.3303668654515e-12,"group2-group1"
"LGALS8","LGALS8",0.599357142857143,1.34491170521842e-13,1.34169860558138e-12,"group2-group1"
"NT5C","NT5C",0.868302792207795,1.44487752765521e-13,1.43652279365176e-12,"group2-group1"
"STX4","STX4",0.466294350649351,1.61126438013766e-13,1.59651721462454e-12,"group2-group1"
"PSME1","PSME1",0.560729870129872,1.62791169317852e-13,1.60756279701379e-12,"group2-group1"
"TP53I3","TP53I3",0.639547857142858,2.2509419338139e-13,2.21532096718452e-12,"group2-group1"
"MARS1","MARS1",0.665871753246754,2.43622629036469e-13,2.38962733111946e-12,"group2-group1"
"PRDX3","PRDX3",0.950531980519482,2.62910932308989e-13,2.57019617103403e-12,"group2-group1"
"CD40","CD40",0.402364772727273,2.71365736870263e-13,2.6440068295726e-12,"group2-group1"
"VPS37A","VPS37A",0.720974123376624,3.1137192705851e-13,3.02372140462466e-12,"group2-group1"
"EHBP1","EHBP1",0.657339220779221,3.20337755382009e-13,3.1004876125219e-12,"group2-group1"
"CXCL5","CXCL5",1.7670175974026,3.67857194408731e-13,3.54866857840501e-12,"group2-group1"
"GRHPR","GRHPR",0.907316655844158,3.85550238036562e-13,3.70711626901602e-12,"group2-group1"
"CLPP","CLPP",0.847758993506495,4.2637905810853e-13,4.08624913721716e-12,"group2-group1"
"HEXIM1","HEXIM1",0.593058474025975,4.33831915221065e-13,4.14408721631102e-12,"group2-group1"
"FAM13A","FAM13A",0.719719740259742,4.83573890020683e-13,4.60419049032722e-12,"group2-group1"
"GP6","GP6",0.663158246753247,4.87730610664018e-13,4.62869017847703e-12,"group2-group1"
"HS1BP3","HS1BP3",0.817561850649351,4.92595645410379e-13,4.65973162308912e-12,"group2-group1"
"TREML1","TREML1",0.665861363636364,5.14596188453346e-13,4.85214406080364e-12,"group2-group1"
"LBR","LBR",0.80103801948052,5.5020201158039e-13,5.1711912535353e-12,"group2-group1"
"CDC42BPB","CDC42BPB",0.509774090909091,5.87994442750797e-13,5.50867870564288e-12,"group2-group1"
"MDH1","MDH1",0.506602142857144,6.65929778122758e-13,6.2188905477726e-12,"group2-group1"
"VTI1A","VTI1A",0.492356753246754,6.69401101603024e-13,6.23139942670586e-12,"group2-group1"
"BANK1","BANK1",0.909598116883117,6.8494565113204e-13,6.35586075637763e-12,"group2-group1"
"PPM1F","PPM1F",0.436909058441559,7.88254886144382e-13,7.29135769683553e-12,"group2-group1"
"RILP","RILP",0.800348344155845,7.9200074596705e-13,7.3028964683334e-12,"group2-group1"
"COMT","COMT",0.837189577922079,8.36073289366422e-13,7.68503844282406e-12,"group2-group1"
"SNCA","SNCA",1.47879808441559,1.01054195321511e-12,9.25960542083941e-12,"group2-group1"
"CNP","CNP",0.870523116883118,1.26339062636199e-12,1.15402837526753e-11,"group2-group1"
"CPXM1","CPXM1",0.532145746753247,1.3391908430868e-12,1.2194563346862e-11,"group2-group1"
"MAVS","MAVS",0.630155357142858,1.42339136778359e-12,1.29210340622094e-11,"group2-group1"
