"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"Q9NSE4","Q9NSE4",17.3685455902981,3.6574864304988e-26,9.25602591449522e-26,"CSpermidine-CControl","IARS2"
"Q00059","Q00059",18.3868921856345,3.678471875472e-26,9.29198172099323e-26,"CSpermidine-CControl","TFAM"
"Q8WZA9","Q8WZA9",19.3907417588674,3.68020338308569e-26,9.29198172099323e-26,"CSpermidine-CControl","IRGQ"
"P18669","P18669",22.5847576554235,3.68547012862031e-26,9.29453436594315e-26,"CSpermidine-CControl","PGAM1"
"P68402","P68402",17.9050464167566,3.7071164285194e-26,9.33834172997274e-26,"CSpermidine-CControl","PAFAH1B2"
"P62942","P62942",19.1420087388564,3.72887406941349e-26,9.38232830368554e-26,"CSpermidine-CControl","FKBP1A"
"O60506","O60506",19.0711632111462,3.78435697998459e-26,9.51097312345954e-26,"CSpermidine-CControl","SYNCRIP"
"O60831","O60831",18.5640714561948,3.80375641096865e-26,9.54874023167303e-26,"CSpermidine-CControl","PRAF2"
"Q15287","Q15287",17.1459759322749,3.81616648428329e-26,9.56511923852437e-26,"CSpermidine-CControl","RNPS1"
"Q5T4S7","Q5T4S7",17.3568760596498,3.82096640876805e-26,9.56511923852437e-26,"CSpermidine-CControl","UBR4"
"Q86YW5","Q86YW5",19.4686418137312,3.82888376532584e-26,9.56511923852437e-26,"CSpermidine-CControl","TREML1"
"Q70J99","Q70J99",22.2385339622937,3.83256628627444e-26,9.56511923852437e-26,"CSpermidine-CControl","UNC13D"
"P02679","P02679",24.0183243632901,3.83497923510195e-26,9.56511923852437e-26,"CSpermidine-CControl","FGG"
"P62424","P62424",21.234956433648,3.83789212421817e-26,9.56511923852437e-26,"CSpermidine-CControl","RPL7A"
"P10599","P10599",22.5430792811508,3.84093844880305e-26,9.56511923852437e-26,"CSpermidine-CControl","TXN"
"Q9NY65","Q9NY65",20.7408630468121,3.84602321459027e-26,9.56687323538173e-26,"CSpermidine-CControl","TUBA8"
"Q9Y3B3","Q9Y3B3",17.8283546426459,3.8976017817999e-26,9.68414367628099e-26,"CSpermidine-CControl","TMED7"
"P43243","P43243",19.9280179046339,3.95119442329983e-26,9.80614615964412e-26,"CSpermidine-CControl","MATR3"
"Q96AX2","Q96AX2",17.766528784578,3.95774236099189e-26,9.81124780522849e-26,"CSpermidine-CControl","RAB37"
"Q92900","Q92900",19.1501981731136,3.96548140699035e-26,9.81928729349992e-26,"CSpermidine-CControl","UPF1"
"Q15257","Q15257",18.1349567966655,4.00133498962405e-26,9.89684667875302e-26,"CSpermidine-CControl","PTPA"
"P07203","P07203",21.2643592246147,4.07313326515604e-26,1.00630351256796e-25,"CSpermidine-CControl","GPX1"
"Q9NWV8","Q9NWV8",17.8465641346331,4.08865022067405e-26,1.00863486065991e-25,"CSpermidine-CControl","BABAM1"
"P49593","P49593",19.3374760027355,4.09180625707272e-26,1.00863486065991e-25,"CSpermidine-CControl","PPM1F"
"Q13131","Q13131",17.8833175634528,4.10190657726437e-26,1.00998466344367e-25,"CSpermidine-CControl","PRKAA1"
"P09110","P09110",18.6346426966734,4.11667275211124e-26,1.0124789741679e-25,"CSpermidine-CControl","ACAA1"
"P05388","P05388",20.6758115908963,4.13344573893595e-26,1.01546068547088e-25,"CSpermidine-CControl","RPLP0"
"P08134","P08134",16.7235530750386,4.1534595093203e-26,1.01923096273658e-25,"CSpermidine-CControl","RHOC"
"P49902","P49902",18.15600984953,4.16973451874223e-26,1.02207633994759e-25,"CSpermidine-CControl","NT5C2"
"Q9GZT3","Q9GZT3",17.8972634012385,4.20601885534857e-26,1.02981448207189e-25,"CSpermidine-CControl","SLIRP"
"P14174","P14174",17.9679234581133,4.25988607148673e-26,1.04183551849127e-25,"CSpermidine-CControl","MIF"
"O43633","O43633",19.3897170950385,4.29709952367008e-26,1.04976122591672e-25,"CSpermidine-CControl","CHMP2A"
"Q92930","Q92930",21.4663415979434,4.34400602987324e-26,1.06003454404951e-25,"CSpermidine-CControl","RAB8B"
"Q9Y5X3","Q9Y5X3",18.6539248274996,4.43076393626295e-26,1.07999870946409e-25,"CSpermidine-CControl","SNX5"
"P28065","P28065",17.0265266168746,4.43575856914352e-26,1.08001078205234e-25,"CSpermidine-CControl","PSMB9"
"Q92835","Q92835",18.0970625236735,4.44229501586637e-26,1.08039780786772e-25,"CSpermidine-CControl","INPP5D"
"P04114","P04114",21.2913565462093,4.48148082989383e-26,1.08871569883072e-25,"CSpermidine-CControl","APOB"
"P49619","P49619",17.2668392487975,4.49788641934662e-26,1.09148710442811e-25,"CSpermidine-CControl","DGKG"
"P21926","P21926",22.6563035749675,4.61342861716324e-26,1.1182828079783e-25,"CSpermidine-CControl","CD9"
"P08514","P08514",24.8751921689641,4.63674249579298e-26,1.12165759503026e-25,"CSpermidine-CControl","ITGA2B"
"P09493","P09493",22.4868854136323,4.63762274868282e-26,1.12165759503026e-25,"CSpermidine-CControl","TPM1"
"P36957","P36957",19.6106614823343,4.70767755902135e-26,1.13734156956887e-25,"CSpermidine-CControl","DLST"
"Q5TEJ8","Q5TEJ8",18.2588754350372,4.71508696726885e-26,1.1378729211619e-25,"CSpermidine-CControl","THEMIS2"
"Q92575","Q92575",17.6147636736597,4.76471513799201e-26,1.14858033790006e-25,"CSpermidine-CControl","UBXN4"
"P35914","P35914",19.6493631299842,4.77455174946662e-26,1.14968258223099e-25,"CSpermidine-CControl","HMGCL"
"Q8NFU3","Q8NFU3",17.4272118634599,4.80232180154963e-26,1.15509590468991e-25,"CSpermidine-CControl","TSTD1"
"P61088","P61088",20.6164193418025,4.82184382484543e-26,1.15851561204207e-25,"CSpermidine-CControl","UBE2N"
